geo_level,geo_code,geo_version,name,variable,value
municipality,3084,,Kheis,No,3479.296
municipality,3084,,Kheis,Unspecified,702.8814
municipality,3084,,Kheis,Yes,12383.72
municipality,5263,,Abaqulusi,No,38251.41
municipality,5263,,Abaqulusi,Unspecified,14724.04
municipality,5263,,Abaqulusi,Yes,190819.2
municipality,5238,,Alfred Duma,No,54068.25
municipality,5238,,Alfred Duma,Unspecified,21424.07
municipality,5238,,Alfred Duma,Yes,280782.2
district,244,,Alfred Nzo,No,286038.9
district,244,,Alfred Nzo,Unspecified,45531.34
district,244,,Alfred Nzo,Yes,536293.8
municipality,2124,,Amahlathi,No,4938.643
municipality,2124,,Amahlathi,Unspecified,4248.177
municipality,2124,,Amahlathi,Yes,92638.72
district,525,,Amajuba,No,40264.33
district,525,,Amajuba,Unspecified,23839.55
district,525,,Amajuba,Yes,467222.9
district,212,,Amathole,No,122387
district,212,,Amathole,Unspecified,54424.07
district,212,,Amathole,Yes,703979.3
municipality,9334,,Ba-Phalaborwa,No,2237.291
municipality,9334,,Ba-Phalaborwa,Unspecified,5435.123
municipality,9334,,Ba-Phalaborwa,Yes,161264.3
municipality,1053,,Beaufort West,No,1218.944
municipality,1053,,Beaufort West,Unspecified,1130.228
municipality,1053,,Beaufort West,Yes,48730.81
municipality,9366,,Bela-Bela,No,9777.122
municipality,9366,,Bela-Bela,Unspecified,3628.166
municipality,9366,,Bela-Bela,Yes,62890.79
municipality,1013,,Bergrivier,No,856.0653
municipality,1013,,Bergrivier,Unspecified,1958.687
municipality,1013,,Bergrivier,Yes,64659.08
municipality,5276,,Big Five Hlabisa,No,22871.37
municipality,5276,,Big Five Hlabisa,Unspecified,7367.681
municipality,5276,,Big Five Hlabisa,Yes,86382.64
municipality,1047,,Bitou,No,297.706
municipality,1047,,Bitou,Unspecified,2976.078
municipality,1047,,Bitou,Yes,55883.4
municipality,9351,,Blouberg,No,4927.8
municipality,9351,,Blouberg,Unspecified,6734.287
municipality,9351,,Blouberg,Yes,160939.3
municipality,2102,,Blue Crane Route,No,1473.491
municipality,2102,,Blue Crane Route,Unspecified,1162.993
municipality,2102,,Blue Crane Route,Yes,33426.78
district,637,,Bojanala,No,125309.1
district,637,,Bojanala,Unspecified,67461.53
district,637,,Bojanala,Yes,1464378
municipality,1025,,Breede Valley,No,3794.391
municipality,1025,,Breede Valley,Unspecified,8731.419
municipality,1025,,Breede Valley,Yes,164052.6
municipality,292,,Buffalo City,No,73664.89
municipality,2920,,Buffalo City,No,73664.89
municipality,292,,Buffalo City,No,73664.89
municipality,2920,,Buffalo City,No,73664.89
municipality,292,,Buffalo City,Unspecified,40827.46
municipality,2920,,Buffalo City,Unspecified,40827.46
municipality,292,,Buffalo City,Unspecified,40827.46
municipality,2920,,Buffalo City,Unspecified,40827.46
municipality,292,,Buffalo City,Yes,720504.8
municipality,2920,,Buffalo City,Yes,720504.8
municipality,292,,Buffalo City,Yes,720504.8
municipality,2920,,Buffalo City,Yes,720504.8
municipality,8325,,Bushbuckridge,No,9513.001
municipality,8325,,Bushbuckridge,Unspecified,19341.91
