geo_level,geo_code,geo_version,name,variable,value
county,30,,Baringo,Closed,0
county,36,,Bomet,Closed,0
county,39,,Bungoma,Closed,0
county,40,,Busia,Closed,0
county,28,,Elgeyo-Marakwet,Closed,0
county,14,,Embu,Closed,3
county,7,,Garissa,Closed,0
county,43,,Homa Bay,Closed,1
county,11,,Isiolo,Closed,0
county,34,,Kajiado,Closed,0
county,37,,Kakamega,Closed,0
country,KE,,Kenya,Closed,114
county,35,,Kericho,Closed,0
county,22,,Kiambu,Closed,2
county,3,,Kilifi,Closed,2
county,20,,Kirinyaga,Closed,0
county,45,,Kisii,Closed,0
county,42,,Kisumu,Closed,1
county,15,,Kitui,Closed,4
county,2,,Kwale,Closed,1
county,31,,Laikipia,Closed,0
county,5,,Lamu,Closed,0
county,16,,Machakos,Closed,0
county,17,,Makueni,Closed,0
county,9,,Mandera,Closed,0
county,10,,Marsabit,Closed,0
county,12,,Meru,Closed,3
county,44,,Migori,Closed,2
county,1,,Mombasa,Closed,0
county,21,,Murang'a,Closed,0
county,47,,Nairobi,Closed,90
county,32,,Nakuru,Closed,0
county,29,,Nandi,Closed,0
county,33,,Narok,Closed,0
county,46,,Nyamira,Closed,1
county,18,,Nyandarua,Closed,0
county,19,,Nyeri,Closed,0
county,25,,Samburu,Closed,0
county,41,,Siaya,Closed,4
county,6,,Taita-Taveta,Closed,0
county,4,,Tana River,Closed,0
county,13,,Tharaka-Nithi,Closed,0
county,26,,Trans-Nzoia,Closed,0
county,23,,Turkana,Closed,0
county,27,,Uasin Gishu,Closed,0
county,38,,Vihiga,Closed,0
county,8,,Wajir,Closed,0
county,24,,West Pokot,Closed,0
subcounty,27144,,Ainabkoi,Closed,0
subcounty,35190,,Ainamoi,Closed,0
subcounty,29152,,Aldai,Closed,0
subcounty,41234,,Alego Usonga,Closed,1
subcounty,16080,,Mavoko,Closed,0
subcounty,44254,,Awendo,Closed,0
subcounty,7028,,Balambala,Closed,0
subcounty,9040,,Banissa,Closed,0
subcounty,30159,,Baringo Central,Closed,0
subcounty,30158,,Baringo North,Closed,0
subcounty,45264,,Bobasi,Closed,0
subcounty,45263,,Bomachoge Borabu,Closed,0
subcounty,45265,,Bomachoge Chache,Closed,0
subcounty,36197,,Bomet Central,Closed,0
subcounty,36196,,Bomet East,Closed,0
subcounty,45261,,Bonchari,Closed,0
subcounty,41236,,Bondo,Closed,0
subcounty,46273,,Borabu,Closed,0
subcounty,39219,,Bumula,Closed,0
,,,Bunyala,Closed,0
subcounty,4020,,Bura,Closed,0
subcounty,35191,,Buret,Closed,0
subcounty,37207,,Butere,Closed,0
subcounty,40229,,Butula,Closed,0
subcounty,12057,,Buuri,Closed,0
subcounty,1001,,Changamwe,Closed,0
subcounty,36195,,Chepalungu,Closed,0
,,,Cheptais,Closed,0
subcounty,26140,,Cherangany,Closed,0
subcounty,29154,,Chesumei,Closed,0
,,,Chuka,Closed,0
subcounty,7030,,Dadaab,Closed,0
,,,Dagoretti North,Closed,5
,,,Dagoretti South,Closed,5
,,,East Pokot,Closed,0
subcounty,8037,,Eldas,Closed,0
subcounty,47284,,Embakasi Central,Closed,3
subcounty,47285,,Embakasi East,Closed,3
subcounty,47283,,Embakasi North,Closed,21
subcounty,47282,,Embakasi South,Closed,4
subcounty,47286,,Embakasi West,Closed,4
subcounty,38215,,Emuhaya,Closed,0
subcounty,26137,,Endebess,Closed,0
subcounty,7031,,Fafi,Closed,0
subcounty,4019,,Galole,Closed,0
subcounty,3015,,Ganze,Closed,0
,,,Garbatulla,Closed,0
,,,Garissa,Closed,0
subcounty,4018,,Garsen,Closed,0
subcounty,21110,,Gatanga,Closed,0
subcounty,22112,,Gatundu North,Closed,0
subcounty,22111,,Gatundu South,Closed,0
subcounty,41235,,Gem,Closed,0
subcounty,32169,,Gilgil,Closed,0
subcounty,22116,,Githunguri,Closed,0
