geo_level,geo_code,geo_version,name,variable,value
district,244,,Alfred Nzo,"2014/15",66.4
district,525,,Amajuba,"2014/15",77.3
district,212,,Amathole,"2014/15",88.1
district,637,,Bojanala,"2014/15",62.6
district,292,,Buffalo City,"2014/15",98.4
district,191,,City of City of Cape Town,"2014/15",95.7
district,102,,Cape Winelands,"2014/15",96.4
district,935,,Capricorn,"2014/15",84.4
district,105,,Central Karoo,"2014/15",95.4
district,213,,Chris Hani,"2014/15",68.3
district,798,,City of Johannesburg,"2014/15",87.6
district,799,,City of Tshwane,"2014/15",86.7
district,640,,Dr Kenneth Kaunda,"2014/15",64.2
province,EC,,Eastern Cape,"2014/15",75.3
district,832,,Ehlanzeni,"2014/15",74.2
district,797,,Ekurhuleni,"2014/15",73.5
district,420,,Fezile Dabi,"2014/15",62.4
district,309,,Frances Baard,"2014/15",72.5
province,FS,,Free State,"2014/15",69
district,104,,Garden Route,"2014/15",92.5
province,GT,,Gauteng,"2014/15",83
district,830,,Gert Sibande,"2014/15",78.1
district,543,,Harry Gwala,"2014/15",96
district,214,,Joe Gqabi,"2014/15",49.2
district,345,,John Taolo Gaetsewe,"2014/15",78.8
district,528,,King Cetshwayo,"2014/15",96.2
province,KZN,,KwaZulu-Natal,"2014/15",91.3
district,418,,Lejweleputswa,"2014/15",57
province,LIM,,Limpopo,"2014/15",54.6
district,494,,Mangaung,"2014/15",71.2
district,933,,Mopani,"2014/15",47.2
province,MP,,Mpumalanga,"2014/15",73
district,306,,Namakwa,"2014/15",93.1
district,293,,Nelson Mandela Bay,"2014/15",72.7
district,638,,Ngaka Modiri Molema,"2014/15",56.3
district,831,,Nkangala,"2014/15",66.8
province,NW,,North West,"2014/15",59.5
province,NC,,Northern Cape,"2014/15",83.4
district,215,,O.R.Tambo,"2014/15",66.8
district,103,,Overberg,"2014/15",96
district,307,,Pixley ka Seme,"2014/15",83.8
district,639,,Dr Ruth Segomotsi Mompati,"2014/15",55.2
district,210,,Sarah Baartman,"2014/15",85.1
district,742,,Sedibeng,"2014/15",76.3
district,947,,Sekhukhune,"2014/15",46.6
country,ZA,,South Africa,"2014/15",76
district,419,,Thabo Mofutsanyana,"2014/15",74.4
district,521,,Ugu,"2014/15",89.2
district,934,,Vhembe,"2014/15",33.1
district,936,,Waterberg,"2014/15",71.8
district,101,,West Coast,"2014/15",88.9
district,748,,West Rand,"2014/15",89.8
province,WC,,Western Cape,"2014/15",94.7
district,416,,Xhariep,"2014/15",85
district,308,,ZF Mgcawu,"2014/15",92.1
district,526,,Zululand,"2014/15",90.5
district,595,,eThekwini,"2014/15",91.8
district,529,,iLembe,"2014/15",89.4
district,522,,Umgungundlovu,"2014/15",93.6
district,527,,Umkhanyakude,"2014/15",85
district,524,,Umzinyathi,"2014/15",93
district,523,,Uthukela,"2014/15",95
district,244,,Alfred Nzo,"2015/16",70.9
district,525,,Amajuba,"2015/16",70.1
district,212,,Amathole,"2015/16",93.9
district,637,,Bojanala,"2015/16",73.9
district,292,,Buffalo City,"2015/16",99.1
district,191,,City of City of Cape Town,"2015/16",93.6
district,102,,Cape Winelands,"2015/16",91.7
district,935,,Capricorn,"2015/16",80.5
district,105,,Central Karoo,"2015/16",98.1
district,213,,Chris Hani,"2015/16",72.6
district,798,,City of Johannesburg,"2015/16",90.7
district,799,,City of Tshwane,"2015/16",90.2
district,640,,Dr Kenneth Kaunda,"2015/16",43.1
province,EC,,Eastern Cape,"2015/16",78.8
district,832,,Ehlanzeni,"2015/16",89.3
district,797,,Ekurhuleni,"2015/16",81.9
district,420,,Fezile Dabi,"2015/16",38
district,309,,Frances Baard,"2015/16",85.8
province,FS,,Free State,"2015/16",47.2
district,104,,Garden Route,"2015/16",95.5
province,GT,,Gauteng,"2015/16",88.4
district,830,,Gert Sibande,"2015/16",82.5
district,543,,Harry Gwala,"2015/16",98.5
district,214,,Joe Gqabi,"2015/16",64.3
district,345,,John Taolo Gaetsewe,"2015/16",76.8
district,528,,King Cetshwayo,"2015/16",93.5
province,KZN,,KwaZulu-Natal,"2015/16",86
district,418,,Lejweleputswa,"2015/16",38.1
province,LIM,,Limpopo,"2015/16",59.1
district,494,,Mangaung,"2015/16",52.7
district,933,,Mopani,"2015/16",56.3
province,MP,,Mpumalanga,"2015/16",84.8
district,306,,Namakwa,"2015/16",99.7
district,293,,Nelson Mandela Bay,"2015/16",78.8
district,638,,Ngaka Modiri Molema,"2015/16",48.1
district,831,,Nkangala,"2015/16",80.8
province,NW,,North West,"2015/16",61.9
province,NC,,Northern Cape,"2015/16",91.1
district,215,,O.R.Tambo,"2015/16",65.4
district,103,,Overberg,"2015/16",100
district,307,,Pixley ka Seme,"2015/16",99.5
district,639,,Dr Ruth Segomotsi Mompati,"2015/16",72.1
district,210,,Sarah Baartman,"2015/16",84.2
district,742,,Sedibeng,"2015/16",85.5
district,947,,Sekhukhune,"2015/16",57.4
country,ZA,,South Africa,"2015/16",77.2
district,419,,Thabo Mofutsanyana,"2015/16",50.6
district,521,,Ugu,"2015/16",86.3
district,934,,Vhembe,"2015/16",34.3
district,936,,Waterberg,"2015/16",81.2
district,101,,West Coast,"2015/16",95.7
district,748,,West Rand,"2015/16",94.7
province,WC,,Western Cape,"2015/16",94.4
district,416,,Xhariep,"2015/16",61.3
district,308,,ZF Mgcawu,"2015/16",98.4
district,526,,Zululand,"2015/16",83.1
district,595,,eThekwini,"2015/16",87.3
district,529,,iLembe,"2015/16",69.9
district,522,,Umgungundlovu,"2015/16",94.6
district,527,,Umkhanyakude,"2015/16",80.4
district,524,,Umzinyathi,"2015/16",78.2
district,523,,Uthukela,"2015/16",93.2
district,244,,Alfred Nzo,"2016/17",85.2
district,525,,Amajuba,"2016/17",87.8
district,212,,Amathole,"2016/17",94.5
district,637,,Bojanala,"2016/17",97.7
district,292,,Buffalo City,"2016/17",99.7
district,191,,City of City of Cape Town,"2016/17",91.7
district,102,,Cape Winelands,"2016/17",99.1
district,935,,Capricorn,"2016/17",80.4
district,105,,Central Karoo,"2016/17",100
district,213,,Chris Hani,"2016/17",77.1
district,798,,City of Johannesburg,"2016/17",87.1
district,799,,City of Tshwane,"2016/17",83.6
district,640,,Dr Kenneth Kaunda,"2016/17",98
province,EC,,Eastern Cape,"2016/17",83.1
district,832,,Ehlanzeni,"2016/17",88.2
district,797,,Ekurhuleni,"2016/17",80.7
district,420,,Fezile Dabi,"2016/17",54.8
district,309,,Frances Baard,"2016/17",85.3
province,FS,,Free State,"2016/17",64.9
district,104,,Garden Route,"2016/17",98.5
province,GT,,Gauteng,"2016/17",86.5
district,830,,Gert Sibande,"2016/17",84.3
district,543,,Harry Gwala,"2016/17",98.3
district,214,,Joe Gqabi,"2016/17",65.1
district,345,,John Taolo Gaetsewe,"2016/17",62.5
district,528,,King Cetshwayo,"2016/17",93
province,KZN,,KwaZulu-Natal,"2016/17",85.9
district,418,,Lejweleputswa,"2016/17",60.4
province,LIM,,Limpopo,"2016/17",57.8
district,494,,Mangaung,"2016/17",69.8
district,933,,Mopani,"2016/17",57.5
province,MP,,Mpumalanga,"2016/17",84.9
district,306,,Namakwa,"2016/17",100
district,293,,Nelson Mandela Bay,"2016/17",85.6
district,638,,Ngaka Modiri Molema,"2016/17",97.1
district,831,,Nkangala,"2016/17",80.9
province,NW,,North West,"2016/17",97.8
province,NC,,Northern Cape,"2016/17",87.5
district,215,,O.R.Tambo,"2016/17",68.2
district,103,,Overberg,"2016/17",99.6
district,307,,Pixley ka Seme,"2016/17",99.5
district,639,,Dr Ruth Segomotsi Mompati,"2016/17",99.2
district,210,,Sarah Baartman,"2016/17",94.4
district,742,,Sedibeng,"2016/17",92.9
district,947,,Sekhukhune,"2016/17",60.8
country,ZA,,South Africa,"2016/17",81.9
district,419,,Thabo Mofutsanyana,"2016/17",68.4
district,521,,Ugu,"2016/17",89.3
district,934,,Vhembe,"2016/17",28.7
district,936,,Waterberg,"2016/17",75.4
district,101,,West Coast,"2016/17",95.4
district,748,,West Rand,"2016/17",96
province,WC,,Western Cape,"2016/17",95.2
district,416,,Xhariep,"2016/17",70.6
district,308,,ZF Mgcawu,"2016/17",100
district,526,,Zululand,"2016/17",83.4
district,595,,eThekwini,"2016/17",86.2
district,529,,iLembe,"2016/17",80.6
district,522,,Umgungundlovu,"2016/17",87.5
district,527,,Umkhanyakude,"2016/17",63.7
district,524,,Umzinyathi,"2016/17",89.1
district,523,,Uthukela,"2016/17",90.5
district,244,,Alfred Nzo,"2017/18",85.2
district,525,,Amajuba,"2017/18",89.7
district,212,,Amathole,"2017/18",93.6
district,637,,Bojanala,"2017/18",70.3
district,292,,Buffalo City,"2017/18",99.4
district,191,,City of City of Cape Town,"2017/18",91.8
district,102,,Cape Winelands,"2017/18",100
district,935,,Capricorn,"2017/18",70.5
district,105,,Central Karoo,"2017/18",96.3
district,213,,Chris Hani,"2017/18",71.6
district,798,,City of Johannesburg,"2017/18",87.3
district,799,,City of Tshwane,"2017/18",72.8
district,640,,Dr Kenneth Kaunda,"2017/18",73.8
province,EC,,Eastern Cape,"2017/18",79.1
district,832,,Ehlanzeni,"2017/18",75
district,797,,Ekurhuleni,"2017/18",78.7
district,420,,Fezile Dabi,"2017/18",47.6
district,309,,Frances Baard,"2017/18",26.4
province,FS,,Free State,"2017/18",64.3
district,104,,Garden Route,"2017/18",99.4
province,GT,,Gauteng,"2017/18",83
district,830,,Gert Sibande,"2017/18",79.8
district,543,,Harry Gwala,"2017/18",98.5
district,214,,Joe Gqabi,"2017/18",57.7
district,345,,John Taolo Gaetsewe,"2017/18",24.8
district,528,,King Cetshwayo,"2017/18",95.7
province,KZN,,KwaZulu-Natal,"2017/18",87.7
district,418,,Lejweleputswa,"2017/18",58.7
province,LIM,,Limpopo,"2017/18",47.4
district,494,,Mangaung,"2017/18",61
district,933,,Mopani,"2017/18",44
province,MP,,Mpumalanga,"2017/18",76.4
district,306,,Namakwa,"2017/18",83.1
district,293,,Nelson Mandela Bay,"2017/18",89.9
district,638,,Ngaka Modiri Molema,"2017/18",60.5
district,831,,Nkangala,"2017/18",75.5
