geo_level,geo_code,geo_version,name,variable,value
county,30,,Baringo,Employer Contributory,4
county,30,,Baringo,Private- Non Contributory,0
county,30,,Baringo,Employer Non Contributory,0
county,30,,Baringo,Private Contributory,7.1
county,30,,Baringo,NHIF,96.3
county,30,,Baringo,Other,1.4
county,36,,Bomet,Employer Contributory,0.3
county,36,,Bomet,Private- Non Contributory,0
county,36,,Bomet,Employer Non Contributory,0.6
county,36,,Bomet,Private Contributory,2.4
county,36,,Bomet,NHIF,97.9
county,36,,Bomet,Other,0
county,39,,Bungoma,Employer Contributory,2.2
county,39,,Bungoma,Private- Non Contributory,0
county,39,,Bungoma,Private Contributory,0.4
county,39,,Bungoma,NHIF,71.7
county,39,,Bungoma,Employer Non Contributory,0
county,39,,Bungoma,Other,27.6
county,40,,Busia,Private Contributory,1.7
county,40,,Busia,Private- Non Contributory,4.9
county,40,,Busia,Employer Contributory,5.5
county,40,,Busia,Employer Non Contributory,2.3
county,40,,Busia,Other,0
county,40,,Busia,NHIF,96.4
county,28,,Elgeyo / Marakwet,NHIF,97.6
county,28,,Elgeyo / Marakwet,Employer Contributory,1.6
county,28,,Elgeyo / Marakwet,Private Contributory,3.2
county,28,,Elgeyo / Marakwet,Employer Non Contributory,0
county,28,,Elgeyo / Marakwet,Other,0
county,28,,Elgeyo / Marakwet,Private- Non Contributory,1.8
county,14,,Embu,Private Contributory,2.9
county,14,,Embu,NHIF,94.5
county,14,,Embu,Employer Contributory,3.3
county,14,,Embu,Other,4.5
county,14,,Embu,Private- Non Contributory,0.7
county,14,,Embu,Employer Non Contributory,0.1
county,7,,Garissa,Private- Non Contributory,0.9
county,7,,Garissa,NHIF,89.5
county,7,,Garissa,Private Contributory,0
county,7,,Garissa,Other,0
county,7,,Garissa,Employer Contributory,15.4
county,7,,Garissa,Employer Non Contributory,0
county,43,,Homa Bay,Other,3
county,43,,Homa Bay,Private Contributory,1.6
county,43,,Homa Bay,NHIF,97.8
county,43,,Homa Bay,Employer Non Contributory,0
county,43,,Homa Bay,Private- Non Contributory,1.4
county,43,,Homa Bay,Employer Contributory,6
county,11,,Isiolo,Private Contributory,6.9
county,11,,Isiolo,Private- Non Contributory,0
county,11,,Isiolo,Employer Contributory,0
county,11,,Isiolo,Other,0
county,11,,Isiolo,NHIF,100
county,11,,Isiolo,Employer Non Contributory,6.6
county,34,,Kajiado,Private- Non Contributory,0
county,34,,Kajiado,Employer Contributory,2.3
county,34,,Kajiado,Employer Non Contributory,7.5
county,34,,Kajiado,NHIF,96.5
county,34,,Kajiado,Private Contributory,3.1
county,34,,Kajiado,Other,0
county,37,,Kakamega,Employer Contributory,1.2
county,37,,Kakamega,Other,1.1
county,37,,Kakamega,Private- Non Contributory,0.2
county,37,,Kakamega,Employer Non Contributory,1.5
county,37,,Kakamega,NHIF,97.6
county,37,,Kakamega,Private Contributory,0.6
country,KE,,Kenya,NHIF,93.9
country,KE,,Kenya,Private Contributory,4.2
country,KE,,Kenya,Employer Contributory,6.2
country,KE,,Kenya,Employer Non Contributory,1
country,KE,,Kenya,Private- Non Contributory,1
country,KE,,Kenya,Other,1.7
county,35,,Kericho,Private Contributory,2.2
county,35,,Kericho,Private- Non Contributory,0
county,35,,Kericho,Employer Contributory,14.4
county,35,,Kericho,Employer Non Contributory,1.3
county,35,,Kericho,NHIF,96.2
county,35,,Kericho,Other,0
county,22,,Kiambu,Private Contributory,2
county,22,,Kiambu,Employer Non Contributory,0
county,22,,Kiambu,Other,0
county,22,,Kiambu,Private- Non Contributory,0
county,22,,Kiambu,NHIF,97.1
county,22,,Kiambu,Employer Contributory,10.8
county,3,,Kilifi,Private- Non Contributory,1
county,3,,Kilifi,Other,0
county,3,,Kilifi,Private Contributory,1.3
county,3,,Kilifi,Employer Contributory,10.5
county,3,,Kilifi,NHIF,95.9
county,3,,Kilifi,Employer Non Contributory,0.5
