geo_level,geo_code,geo_version,name,variable_1,variable_2,value
state,1,,Abia,Female,Social security health insurance,0.1
state,1,,Abia,Female,Other employer-base health insurance,1
state,1,,Abia,Female,Privately purchased commercial insurance,5
state,1,,Abia,Female,Other health insurance,0
state,1,,Abia,Female,No health insurance,90.9
state,1,,Abia,Female,Mutual health organzation or community-base health insurance,3.6
state,2,,Adamawa,Female,Mutual health organzation or community-base health insurance,0
state,2,,Adamawa,Female,Other employer-base health insurance,0.8
state,2,,Adamawa,Female,Social security health insurance,0
state,2,,Adamawa,Female,Other health insurance,0
state,2,,Adamawa,Female,Privately purchased commercial insurance,0
state,2,,Adamawa,Female,No health insurance,99.2
state,3,,Akwa Ibom,Female,Other employer-base health insurance,1.9
state,3,,Akwa Ibom,Female,Other health insurance,0
state,3,,Akwa Ibom,Female,Social security health insurance,0.2
state,3,,Akwa Ibom,Female,Mutual health organzation or community-base health insurance,0.3
state,3,,Akwa Ibom,Female,No health insurance,97.7
state,3,,Akwa Ibom,Female,Privately purchased commercial insurance,0
state,4,,Anambra,Female,Social security health insurance,0
state,4,,Anambra,Female,Other employer-base health insurance,2.8
state,4,,Anambra,Female,Other health insurance,0
state,4,,Anambra,Female,Privately purchased commercial insurance,0
state,4,,Anambra,Female,Mutual health organzation or community-base health insurance,0
state,4,,Anambra,Female,No health insurance,97.2
state,5,,Bauchi,Female,Other health insurance,0
state,5,,Bauchi,Female,Other employer-base health insurance,0.8
state,5,,Bauchi,Female,Privately purchased commercial insurance,0
state,5,,Bauchi,Female,Social security health insurance,0
state,5,,Bauchi,Female,No health insurance,98.7
state,5,,Bauchi,Female,Mutual health organzation or community-base health insurance,0.5
state,6,,Bayelsa,Female,Privately purchased commercial insurance,0
state,6,,Bayelsa,Female,No health insurance,97.8
state,6,,Bayelsa,Female,Mutual health organzation or community-base health insurance,1.1
state,6,,Bayelsa,Female,Social security health insurance,0.1
state,6,,Bayelsa,Female,Other health insurance,0
state,6,,Bayelsa,Female,Other employer-base health insurance,1
state,7,,Benue,Female,Mutual health organzation or community-base health insurance,0
state,7,,Benue,Female,Other employer-base health insurance,0.4
state,7,,Benue,Female,No health insurance,99.5
state,7,,Benue,Female,Social security health insurance,0
state,7,,Benue,Female,Other health insurance,0
state,7,,Benue,Female,Privately purchased commercial insurance,0.1
state,8,,Borno,Female,Privately purchased commercial insurance,0
state,8,,Borno,Female,No health insurance,97.8
state,8,,Borno,Female,Other health insurance,0.1
state,8,,Borno,Female,Other employer-base health insurance,2
state,8,,Borno,Female,Social security health insurance,0.1
state,8,,Borno,Female,Mutual health organzation or community-base health insurance,0
state,9,,Cross River,Female,No health insurance,98.1
