geo_level,geo_code,geo_version,name,variable,value
municipality,3084,,Kheis,Do not know,0
municipality,3084,,Kheis,Eskom-pre-paid,10662.95
municipality,3084,,Kheis,Eskom-receive bill from eskom,697.6246
municipality,3084,,Kheis,Municipality-prepaid,1089.58
municipality,3084,,Kheis,Municipality-receive bill from municipality,104.4121
municipality,3084,,Kheis,Not applicable,1388.619
municipality,3084,,Kheis,Other supplier (e.g. metering services such as impact meters,11.96411
municipality,3084,,Kheis,Unspecified,2610.744
municipality,5263,,Abaqulusi,Do not know,514.6533
municipality,5263,,Abaqulusi,Eskom-pre-paid,91337.36
municipality,5263,,Abaqulusi,Eskom-receive bill from eskom,1889.389
municipality,5263,,Abaqulusi,Municipality-prepaid,92819.87
municipality,5263,,Abaqulusi,Municipality-receive bill from municipality,12786.95
municipality,5263,,Abaqulusi,Not applicable,42127.45
municipality,5263,,Abaqulusi,Other supplier (e.g. metering services such as impact meters,441.97
municipality,5263,,Abaqulusi,Unspecified,1877.003
municipality,5238,,Alfred Duma,Do not know,265.4141
municipality,5238,,Alfred Duma,Eskom-pre-paid,219711
municipality,5238,,Alfred Duma,Eskom-receive bill from eskom,3872.467
municipality,5238,,Alfred Duma,Municipality-prepaid,64618.4
municipality,5238,,Alfred Duma,Municipality-receive bill from municipality,6214.747
municipality,5238,,Alfred Duma,Not applicable,51932.36
municipality,5238,,Alfred Duma,Other supplier (e.g. metering services such as impact meters,134.4085
municipality,5238,,Alfred Duma,Unspecified,9525.68
district,244,,Alfred Nzo,Do not know,655.6331
district,244,,Alfred Nzo,Eskom-pre-paid,497954.6
district,244,,Alfred Nzo,Eskom-receive bill from eskom,3486.957
district,244,,Alfred Nzo,Municipality-prepaid,55422.66
district,244,,Alfred Nzo,Municipality-receive bill from municipality,731.278
district,244,,Alfred Nzo,Not applicable,230859.7
district,244,,Alfred Nzo,Other supplier (e.g. metering services such as impact meters,3294.958
district,244,,Alfred Nzo,Unspecified,75458.25
municipality,2124,,Amahlathi,Do not know,174.5671
municipality,2124,,Amahlathi,Eskom-pre-paid,87668.45
municipality,2124,,Amahlathi,Eskom-receive bill from eskom,1436.608
municipality,2124,,Amahlathi,Municipality-prepaid,6842.708
municipality,2124,,Amahlathi,Municipality-receive bill from municipality,858.4199
municipality,2124,,Amahlathi,Not applicable,4213.032
municipality,2124,,Amahlathi,Other supplier (e.g. metering services such as impact meters,271.0645
municipality,2124,,Amahlathi,Unspecified,360.6923
district,525,,Amajuba,Do not know,898.7221
district,525,,Amajuba,Eskom-pre-paid,414054
district,525,,Amajuba,Eskom-receive bill from eskom,5843.009
district,525,,Amajuba,Municipality-prepaid,21698.57
district,525,,Amajuba,Municipality-receive bill from municipality,43758.65
district,525,,Amajuba,Not applicable,40923.56
district,525,,Amajuba,Other supplier (e.g. metering services such as impact meters,671.3942
district,525,,Amajuba,Unspecified,3478.866
district,212,,Amathole,Do not know,1424.207
district,212,,Amathole,Eskom-pre-paid,649286.4
district,212,,Amathole,Eskom-receive bill from eskom,9580.662
district,212,,Amathole,Municipality-prepaid,70593.16
district,212,,Amathole,Municipality-receive bill from municipality,1990.099
district,212,,Amathole,Not applicable,125311
district,212,,Amathole,Other supplier (e.g. metering services such as impact meters,315.5241
district,212,,Amathole,Unspecified,22289.24
municipality,9334,,Ba-Phalaborwa,Do not know,867.6447
municipality,9334,,Ba-Phalaborwa,Eskom-pre-paid,138133.4
municipality,9334,,Ba-Phalaborwa,Eskom-receive bill from eskom,1529.896
municipality,9334,,Ba-Phalaborwa,Municipality-prepaid,21790.4
municipality,9334,,Ba-Phalaborwa,Municipality-receive bill from municipality,4039.813
municipality,9334,,Ba-Phalaborwa,Not applicable,1344.157
municipality,9334,,Ba-Phalaborwa,Other supplier (e.g. metering services such as impact meters,95.30167
municipality,9334,,Ba-Phalaborwa,Unspecified,1136.115
municipality,1053,,Beaufort West,Do not know,16.72066
municipality,1053,,Beaufort West,Eskom-pre-paid,4311.174
municipality,1053,,Beaufort West,Eskom-receive bill from eskom,357.8813
municipality,1053,,Beaufort West,Municipality-prepaid,41529.66
municipality,1053,,Beaufort West,Municipality-receive bill from municipality,3091.051
municipality,1053,,Beaufort West,Not applicable,758.9415
