geo_level,geo_code,geo_version,name,variable,value
district,244,,Alfred Nzo,Inpatient bed utilisation rate ,63.2
district,525,,Amajuba,Inpatient bed utilisation rate ,65.4
district,212,,Amathole,Inpatient bed utilisation rate ,52.6
district,637,,Bojanala,Inpatient bed utilisation rate ,71.4
municipality,292,,Buffalo City,Inpatient bed utilisation rate ,54.8
district,102,,Cape Winelands,Inpatient bed utilisation rate ,79.4
district,935,,Capricorn,Inpatient bed utilisation rate ,76.2
district,105,,Central Karoo,Inpatient bed utilisation rate ,73.2
district,213,,Chris Hani,Inpatient bed utilisation rate ,47.3
municipality,191,,City of Cape Town,Inpatient bed utilisation rate ,98.7
municipality,798,,City of Johannesburg,Inpatient bed utilisation rate ,67.8
municipality,799,,City of Tshwane,Inpatient bed utilisation rate ,67.2
district,640,,Dr Kenneth Kaunda,Inpatient bed utilisation rate ,67.6
district,639,,Dr Ruth Segomotsi Mompati,Inpatient bed utilisation rate ,60.7
province,EC,,Eastern Cape,Inpatient bed utilisation rate ,54.7
district,832,,Ehlanzeni,Inpatient bed utilisation rate ,71.5
municipality,797,,Ekurhuleni,Inpatient bed utilisation rate ,73.6
municipality,595,,eThekwini,Inpatient bed utilisation rate ,61.4
district,420,,Fezile Dabi,Inpatient bed utilisation rate ,67.5
district,309,,Frances Baard,Inpatient bed utilisation rate ,35.9
province,FS,,Free State,Inpatient bed utilisation rate ,60.2
,,,Garden Route,Inpatient bed utilisation rate ,84.9
province,GT,,Gauteng,Inpatient bed utilisation rate ,66.9
district,830,,Gert Sibande,Inpatient bed utilisation rate ,68.4
,,,Harry Gwala,Inpatient bed utilisation rate ,62.4
district,529,,iLembe,Inpatient bed utilisation rate ,48.2
district,214,,Joe Gqabi,Inpatient bed utilisation rate ,55.5
district,345,,John Taolo Gaetsewe,Inpatient bed utilisation rate ,56.2
,,,King Cetshwayo,Inpatient bed utilisation rate ,46.4
province,KZN,,KwaZulu-Natal,Inpatient bed utilisation rate ,57
district,418,,Lejweleputswa,Inpatient bed utilisation rate ,57.1
province,LIM,,Limpopo,Inpatient bed utilisation rate ,72.7
municipality,494,,Mangaung,Inpatient bed utilisation rate ,65.7
district,933,,Mopani,Inpatient bed utilisation rate ,80.5
province,MP,,Mpumalanga,Inpatient bed utilisation rate ,69.5
district,306,,Namakwa,Inpatient bed utilisation rate ,73.5
,,,NelsoNelson Mandela Bay,Inpatient bed utilisation rate ,60
district,638,,Ngaka Modiri Molema,Inpatient bed utilisation rate ,49.4
district,831,,Nkangala,Inpatient bed utilisation rate ,68.9
province,NW,,North West,Inpatient bed utilisation rate ,63
province,NC,,Northern Cape,Inpatient bed utilisation rate ,54.6
district,215,,O.R.Tambo,Inpatient bed utilisation rate ,54
district,103,,Overberg,Inpatient bed utilisation rate ,76.6
district,307,,Pixley ka Seme,Inpatient bed utilisation rate ,60
,,,Sarah Baartman,Inpatient bed utilisation rate ,61.1
district,742,,Sedibeng,Inpatient bed utilisation rate ,74.9
district,947,,Sekhukhune,Inpatient bed utilisation rate ,68.2
country,ZA,,South Africa,Inpatient bed utilisation rate ,65.2
,,,Thabo Mofutsanyana,Inpatient bed utilisation rate ,54.1
district,521,,Ugu,Inpatient bed utilisation rate ,67.7
district,522,,Umgungundlovu,Inpatient bed utilisation rate ,77.1
district,527,,Umkhanyakude,Inpatient bed utilisation rate ,60.7
district,524,,Umzinyathi,Inpatient bed utilisation rate ,53.7
district,523,,Uthukela,Inpatient bed utilisation rate ,66.1
district,934,,Vhembe,Inpatient bed utilisation rate ,74.7
district,936,,Waterberg,Inpatient bed utilisation rate ,62.9
district,101,,West Coast,Inpatient bed utilisation rate ,87.5
district,748,,West Rand,Inpatient bed utilisation rate ,61.5
province,WC,,Western Cape,Inpatient bed utilisation rate ,88.3
district,416,,Xhariep,Inpatient bed utilisation rate ,56.8
district,526,,Zululand,Inpatient bed utilisation rate ,61.2
district,308,,Z F Mgcawu,Inpatient bed utilisation rate ,45.5
