geo_level,geo_code,geo_version,name,variable,value
municipality,NC084,,!Kheis,Farms,"2,864,523,107"
municipality,NC084,,!Kheis,Traditional,0
municipality,NC084,,!Kheis,Urban,"1,370,136,916"
municipality,KZN263,,Abaqulusi,Urban,"9,412,203,978"
municipality,KZN263,,Abaqulusi,Farms,"6,277,597,992"
municipality,KZN263,,Abaqulusi,Traditional,"8,689,662,625"
municipality,KZN238,,Alfred Duma,Urban,"1,362,132,385"
municipality,KZN238,,Alfred Duma,Traditional,"1,803,651,991"
municipality,KZN238,,Alfred Duma,Farms,"3,969,604,971"
municipality,DC44,,Alfred Nzo,Urban,"6,258,312,417"
municipality,DC44,,Alfred Nzo,Traditional,"8,022,778,228"
municipality,DC44,,Alfred Nzo,Farms,"3,003,083,893"
municipality,EC124,,Amahlathi,Urban,"4,279,821,743"
municipality,EC124,,Amahlathi,Traditional,"5,376,621,014"
municipality,EC124,,Amahlathi,Farms,"5,261,116,177"
municipality,DC25,,Amajuba,Farms,"4,663,263,614"
municipality,DC25,,Amajuba,Traditional,"1,997,921,384"
municipality,DC25,,Amajuba,Urban,"2,849,020,401"
municipality,DC12,,Amathole,Farms,"1,495,081,301"
municipality,DC12,,Amathole,Urban,"196,865,553"
municipality,DC12,,Amathole,Traditional,"6,689,739,735"
municipality,LIM334,,Ba-Phalaborwa,Urban,"1,366,392,696"
municipality,LIM334,,Ba-Phalaborwa,Traditional,"1,498,548,133"
municipality,LIM334,,Ba-Phalaborwa,Farms,"5,417,965,229"
municipality,WC053,,Beaufort West,Traditional,0
municipality,WC053,,Beaufort West,Urban,"4,836,775,821"
municipality,WC053,,Beaufort West,Farms,"2,712,223,743"
municipality,LIM366,,Bela-Bela,Urban,"563,889,248"
municipality,LIM366,,Bela-Bela,Farms,"1,331,674,281"
municipality,LIM366,,Bela-Bela,Traditional,"659,041,332"
municipality,WC013,,Bergrivier,Traditional,0
municipality,WC013,,Bergrivier,Urban,"5,610,311,246"
municipality,WC013,,Bergrivier,Farms,"1,137,071,619"
municipality,KZN276,,Big Five Hlabisa,Urban,"6,356,106,029"
municipality,KZN276,,Big Five Hlabisa,Traditional,"1,074,422,012"
