geo_level,geo_code,geo_version,name,variable,value
county,30,,Baringo,Piped into dwelling,3.6
county,36,,Bomet,Piped into dwelling,5
county,39,,Bungoma,Piped into dwelling,3.7
county,40,,Busia,Piped into dwelling,1.8
county,28,,Elgeyo-Marakwet,Piped into dwelling,5.6
county,14,,Embu,Piped into dwelling,20.7
county,7,,Garissa,Piped into dwelling,3.4
county,43,,Homa Bay,Piped into dwelling,1
county,11,,Isiolo,Piped into dwelling,6
county,34,,Kajiado,Piped into dwelling,7.9
county,37,,Kakamega,Piped into dwelling,3.1
country,KE,,Kenya,Piped into dwelling,10.1
county,35,,Kericho,Piped into dwelling,9.1
county,22,,Kiambu,Piped into dwelling,22.8
county,3,,Kilifi,Piped into dwelling,10.2
county,20,,Kirinyaga,Piped into dwelling,17.2
county,45,,Kisii,Piped into dwelling,1
county,42,,Kisumu,Piped into dwelling,8.3
county,15,,Kitui,Piped into dwelling,2.8
county,2,,Kwale,Piped into dwelling,4.3
county,31,,Laikipia,Piped into dwelling,12.5
county,5,,Lamu,Piped into dwelling,8.4
county,16,,Machakos,Piped into dwelling,3.4
county,17,,Makueni,Piped into dwelling,3
county,9,,Mandera,Piped into dwelling,1.1
county,10,,Marsabit,Piped into dwelling,0.7
county,12,,Meru,Piped into dwelling,17.9
county,44,,Migori,Piped into dwelling,1.2
county,1,,Mombasa,Piped into dwelling,7.2
county,12,,Murang'a,Piped into dwelling,16.7
county,47,,Nairobi,Piped into dwelling,22.7
county,32,,Nakuru,Piped into dwelling,9.4
county,29,,Nandi,Piped into dwelling,4.9
county,33,,Narok,Piped into dwelling,1.5
county,46,,Nyamira,Piped into dwelling,0.9
county,18,,Nyandarua,Piped into dwelling,8.8
county,19,,Nyeri,Piped into dwelling,24.1
county,25,,Samburu,Piped into dwelling,2
county,41,,Siaya,Piped into dwelling,1.7
county,6,,Taita-Taveta,Piped into dwelling,12
county,4,,Tana River,Piped into dwelling,2.9
county,13,,Tharaka-Nithi,Piped into dwelling,18.8
county,26,,Trans-Nzoia,Piped into dwelling,5.3
county,23,,Turkana,Piped into dwelling,2.5
county,27,,Uasin Gishu,Piped into dwelling,13.2
county,38,,Vihiga,Piped into dwelling,1.5
county,8,,Wajir,Piped into dwelling,1.4
county,24,,West Pokot,Piped into dwelling,3.4
county,30,,Baringo,Piped to yard,9.1
county,36,,Bomet,Piped to yard,5.7
county,39,,Bungoma,Piped to yard,4.8
county,40,,Busia,Piped to yard,3.3
county,28,,Elgeyo-Marakwet,Piped to yard,13
county,14,,Embu,Piped to yard,28.6
county,7,,Garissa,Piped to yard,8.6
county,43,,Homa Bay,Piped to yard,2
county,11,,Isiolo,Piped to yard,27.2
county,34,,Kajiado,Piped to yard,10.1
county,37,,Kakamega,Piped to yard,3.7
country,KE,,Kenya,Piped to yard,14.1
county,35,,Kericho,Piped to yard,10.1
county,22,,Kiambu,Piped to yard,30.2
county,3,,Kilifi,Piped to yard,13.2
county,20,,Kirinyaga,Piped to yard,30
county,45,,Kisii,Piped to yard,1.1
county,42,,Kisumu,Piped to yard,10.9
county,15,,Kitui,Piped to yard,2.3
county,2,,Kwale,Piped to yard,5.5
county,31,,Laikipia,Piped to yard,19.7
county,5,,Lamu,Piped to yard,3.7
county,16,,Machakos,Piped to yard,3.1
county,17,,Makueni,Piped to yard,3.7
county,9,,Mandera,Piped to yard,2.3
county,10,,Marsabit,Piped to yard,1.2
county,12,,Meru,Piped to yard,24.6
county,44,,Migori,Piped to yard,1.5
county,1,,Mombasa,Piped to yard,5.2
