geo_level,geo_code,geo_version,name,variable,value
municipality,3084,,Kheis,Borehole in the yard,253.5075
municipality,3084,,Kheis,Borehole outside the yard,289.5098
municipality,3084,,Kheis,Flowing water/stream/river,350.7659
municipality,3084,,Kheis,Neighbours tap,252.0227
municipality,3084,,Kheis,Other,78.99479
municipality,3084,,Kheis,Piped (tap) water inside the dwelling/house,3469.257
municipality,3084,,Kheis,Piped (tap) water inside yard,10314.99
municipality,3084,,Kheis,Piped water on community stand,573.4063
municipality,3084,,Kheis,Public/communal tap,396.6489
municipality,3084,,Kheis,Rain-water tank in yard,8.600242
municipality,3084,,Kheis,Spring,0
municipality,3084,,Kheis,Water-carrier/tanker,578.192
municipality,3084,,Kheis,Well,0
municipality,5263,,Abaqulusi,Borehole in the yard,1864.271
municipality,5263,,Abaqulusi,Borehole outside the yard,6000.032
municipality,5263,,Abaqulusi,Flowing water/stream/river,26659.94
municipality,5263,,Abaqulusi,Neighbours tap,6847.447
municipality,5263,,Abaqulusi,Other,1145.406
municipality,5263,,Abaqulusi,Piped (tap) water inside the dwelling/house,49713.68
municipality,5263,,Abaqulusi,Piped (tap) water inside yard,111999.3
municipality,5263,,Abaqulusi,Piped water on community stand,12375.43
municipality,5263,,Abaqulusi,Public/communal tap,14295.04
municipality,5263,,Abaqulusi,Rain-water tank in yard,2319.406
municipality,5263,,Abaqulusi,Spring,2614.176
municipality,5263,,Abaqulusi,Water-carrier/tanker,6821.16
municipality,5263,,Abaqulusi,Well,1139.363
municipality,5238,,Alfred Duma,Borehole in the yard,4605.054
municipality,5238,,Alfred Duma,Borehole outside the yard,41674.41
municipality,5238,,Alfred Duma,Flowing water/stream/river,16379.4
municipality,5238,,Alfred Duma,Neighbours tap,3652.833
municipality,5238,,Alfred Duma,Other,1140.872
municipality,5238,,Alfred Duma,Piped (tap) water inside the dwelling/house,91170.55
municipality,5238,,Alfred Duma,Piped (tap) water inside yard,122097.8
municipality,5238,,Alfred Duma,Piped water on community stand,37628.64
municipality,5238,,Alfred Duma,Public/communal tap,18022.33
municipality,5238,,Alfred Duma,Rain-water tank in yard,1174.617
municipality,5238,,Alfred Duma,Spring,3501.323
municipality,5238,,Alfred Duma,Water-carrier/tanker,14097.33
municipality,5238,,Alfred Duma,Well,1129.303
district,244,,Alfred Nzo,Borehole in the yard,1734.338
district,244,,Alfred Nzo,Borehole outside the yard,7144.279
district,244,,Alfred Nzo,Flowing water/stream/river,357575.4
district,244,,Alfred Nzo,Neighbours tap,9599.512
district,244,,Alfred Nzo,Other,1609.177
district,244,,Alfred Nzo,Piped (tap) water inside the dwelling/house,21737.2
district,244,,Alfred Nzo,Piped (tap) water inside yard,101770.5
district,244,,Alfred Nzo,Piped water on community stand,170684
district,244,,Alfred Nzo,Public/communal tap,59432.88
district,244,,Alfred Nzo,Rain-water tank in yard,41188.96
district,244,,Alfred Nzo,Spring,71495.98
district,244,,Alfred Nzo,Water-carrier/tanker,9211.525
district,244,,Alfred Nzo,Well,14680.31
municipality,2124,,Amahlathi,Borehole in the yard,406.8341
municipality,2124,,Amahlathi,Borehole outside the yard,237.5217
municipality,2124,,Amahlathi,Flowing water/stream/river,2435.915
municipality,2124,,Amahlathi,Neighbours tap,1257.709
municipality,2124,,Amahlathi,Other,91.70995
municipality,2124,,Amahlathi,Piped (tap) water inside the dwelling/house,14801.31
municipality,2124,,Amahlathi,Piped (tap) water inside yard,30990.32
municipality,2124,,Amahlathi,Piped water on community stand,40280.26
municipality,2124,,Amahlathi,Public/communal tap,6088.87
municipality,2124,,Amahlathi,Rain-water tank in yard,4655.368
municipality,2124,,Amahlathi,Spring,48.24489
municipality,2124,,Amahlathi,Water-carrier/tanker,531.485
municipality,2124,,Amahlathi,Well,0
district,525,,Amajuba,Borehole in the yard,1748.936
district,525,,Amajuba,Borehole outside the yard,5274.318
district,525,,Amajuba,Flowing water/stream/river,12713.09
district,525,,Amajuba,Neighbours tap,7502.411
district,525,,Amajuba,Other,1728.692
district,525,,Amajuba,Piped (tap) water inside the dwelling/house,180974.2
district,525,,Amajuba,Piped (tap) water inside yard,281111.4
district,525,,Amajuba,Piped water on community stand,11008.95
district,525,,Amajuba,Public/communal tap,16700.71
district,525,,Amajuba,Rain-water tank in yard,1118.233
district,525,,Amajuba,Spring,1035.128
district,525,,Amajuba,Water-carrier/tanker,9744.033
district,525,,Amajuba,Well,666.7313
district,212,,Amathole,Borehole in the yard,1142.113
district,212,,Amathole,Borehole outside the yard,2170.201
district,212,,Amathole,Flowing water/stream/river,131240.8
district,212,,Amathole,Neighbours tap,7936.706
district,212,,Amathole,Other,3386.804
district,212,,Amathole,Piped (tap) water inside the dwelling/house,92005.12
district,212,,Amathole,Piped (tap) water inside yard,111027.9
district,212,,Amathole,Piped water on community stand,298594.7
district,212,,Amathole,Public/communal tap,93598.02
district,212,,Amathole,Rain-water tank in yard,125180.6
district,212,,Amathole,Spring,1574.72
district,212,,Amathole,Water-carrier/tanker,12710.94
district,212,,Amathole,Well,221.7359
municipality,9334,,Ba-Phalaborwa,Borehole in the yard,761.3659
municipality,9334,,Ba-Phalaborwa,Borehole outside the yard,772.4883
municipality,9334,,Ba-Phalaborwa,Flowing water/stream/river,6.711555
municipality,9334,,Ba-Phalaborwa,Neighbours tap,17707.83
municipality,9334,,Ba-Phalaborwa,Other,2421.55
municipality,9334,,Ba-Phalaborwa,Piped (tap) water inside the dwelling/house,49942.25
municipality,9334,,Ba-Phalaborwa,Piped (tap) water inside yard,74055.05
municipality,9334,,Ba-Phalaborwa,Piped water on community stand,12905.47
municipality,9334,,Ba-Phalaborwa,Public/communal tap,9411.304
municipality,9334,,Ba-Phalaborwa,Rain-water tank in yard,0
municipality,9334,,Ba-Phalaborwa,Spring,0
municipality,9334,,Ba-Phalaborwa,Water-carrier/tanker,952.6814
municipality,9334,,Ba-Phalaborwa,Well,0
municipality,1053,,Beaufort West,Borehole in the yard,401.0281
municipality,1053,,Beaufort West,Borehole outside the yard,149.4272
municipality,1053,,Beaufort West,Flowing water/stream/river,21.87848
municipality,1053,,Beaufort West,Neighbours tap,78.21242
municipality,1053,,Beaufort West,Other,1225.337
municipality,1053,,Beaufort West,Piped (tap) water inside the dwelling/house,40047.96
municipality,1053,,Beaufort West,Piped (tap) water inside yard,9019.229
municipality,1053,,Beaufort West,Piped water on community stand,75.51208
municipality,1053,,Beaufort West,Public/communal tap,32.11478
municipality,1053,,Beaufort West,Rain-water tank in yard,29.2811
municipality,1053,,Beaufort West,Spring,0
municipality,1053,,Beaufort West,Water-carrier/tanker,0
municipality,1053,,Beaufort West,Well,0
municipality,9366,,Bela-Bela,Borehole in the yard,5044.621
municipality,9366,,Bela-Bela,Borehole outside the yard,462.9586
municipality,9366,,Bela-Bela,Flowing water/stream/river,110.8726
municipality,9366,,Bela-Bela,Neighbours tap,49.74544
municipality,9366,,Bela-Bela,Other,632.4485
municipality,9366,,Bela-Bela,Piped (tap) water inside the dwelling/house,21808.05
municipality,9366,,Bela-Bela,Piped (tap) water inside yard,38434.13
municipality,9366,,Bela-Bela,Piped water on community stand,2594.873
municipality,9366,,Bela-Bela,Public/communal tap,5754.658
municipality,9366,,Bela-Bela,Rain-water tank in yard,502.126
municipality,9366,,Bela-Bela,Spring,6.157211
municipality,9366,,Bela-Bela,Water-carrier/tanker,895.4363
municipality,9366,,Bela-Bela,Well,0
municipality,1013,,Bergrivier,Borehole in the yard,256.0535
municipality,1013,,Bergrivier,Borehole outside the yard,364.0686
municipality,1013,,Bergrivier,Flowing water/stream/river,294.6877
municipality,1013,,Bergrivier,Neighbours tap,218.4132
municipality,1013,,Bergrivier,Other,228.9953
municipality,1013,,Bergrivier,Piped (tap) water inside the dwelling/house,58210.07
municipality,1013,,Bergrivier,Piped (tap) water inside yard,7494.029
municipality,1013,,Bergrivier,Piped water on community stand,49.5781
municipality,1013,,Bergrivier,Public/communal tap,65.98967
municipality,1013,,Bergrivier,Rain-water tank in yard,117.6604
municipality,1013,,Bergrivier,Spring,0
municipality,1013,,Bergrivier,Water-carrier/tanker,174.2811
municipality,1013,,Bergrivier,Well,0
municipality,5276,,Big Five Hlabisa,Borehole in the yard,880.445
municipality,5276,,Big Five Hlabisa,Borehole outside the yard,12182.63
municipality,5276,,Big Five Hlabisa,Flowing water/stream/river,41824.99
municipality,5276,,Big Five Hlabisa,Neighbours tap,2408.109
municipality,5276,,Big Five Hlabisa,Other,545.7039
municipality,5276,,Big Five Hlabisa,Piped (tap) water inside the dwelling/house,7094.171
municipality,5276,,Big Five Hlabisa,Piped (tap) water inside yard,16221.33
municipality,5276,,Big Five Hlabisa,Piped water on community stand,5306.413
municipality,5276,,Big Five Hlabisa,Public/communal tap,2268.365
municipality,5276,,Big Five Hlabisa,Rain-water tank in yard,6927.529
municipality,5276,,Big Five Hlabisa,Spring,2123.396
municipality,5276,,Big Five Hlabisa,Water-carrier/tanker,18635.5
municipality,5276,,Big Five Hlabisa,Well,203.1118
municipality,1047,,Bitou,Borehole in the yard,702.3232
municipality,1047,,Bitou,Borehole outside the yard,0
municipality,1047,,Bitou,Flowing water/stream/river,1117.305
municipality,1047,,Bitou,Neighbours tap,0
municipality,1047,,Bitou,Other,66.85837
municipality,1047,,Bitou,Piped (tap) water inside the dwelling/house,36276.61
municipality,1047,,Bitou,Piped (tap) water inside yard,15271.76
municipality,1047,,Bitou,Piped water on community stand,4737.762
municipality,1047,,Bitou,Public/communal tap,126.9724
municipality,1047,,Bitou,Rain-water tank in yard,712.4286
municipality,1047,,Bitou,Spring,145.1589
municipality,1047,,Bitou,Water-carrier/tanker,0
municipality,1047,,Bitou,Well,0
municipality,9351,,Blouberg,Borehole in the yard,23442.23
municipality,9351,,Blouberg,Borehole outside the yard,1150.771
municipality,9351,,Blouberg,Flowing water/stream/river,2694.968
municipality,9351,,Blouberg,Neighbours tap,10002.64
municipality,9351,,Blouberg,Other,2046.996
municipality,9351,,Blouberg,Piped (tap) water inside the dwelling/house,1206.263
municipality,9351,,Blouberg,Piped (tap) water inside yard,64916.38
municipality,9351,,Blouberg,Piped water on community stand,43673.72
municipality,9351,,Blouberg,Public/communal tap,21143.59
municipality,9351,,Blouberg,Rain-water tank in yard,361.0048
municipality,9351,,Blouberg,Spring,0
municipality,9351,,Blouberg,Water-carrier/tanker,1034.017
