geo_level,geo_code,geo_version,name,variable,value
state,1,,Abia,Unprotected well water,0
state,1,,Abia,Tubewell/borehole,83.1
state,1,,Abia,Unimproved bottled water,0
state,1,,Abia,Water piped into dwelling,0
state,1,,Abia,Protected well,0
state,1,,Abia,Surface water,7
state,1,,Abia,Tanker truck,0
state,1,,Abia,Other water source,0
state,1,,Abia,Protected spring,5.4
state,1,,Abia,Rainwater,0.1
state,1,,Abia,Sachet water,1.4
state,1,,Abia,Unprotected spring,2.1
state,1,,Abia,Water piped into yard/plot,0.6
state,1,,Abia,Cart with tank,0
state,1,,Abia,Public tap/standpipe,0
state,1,,Abia,Bottled water/demi john,0.4
state,1,,Abia,Water piped to neighbor,0
state,2,,Adamawa,Rainwater,0.1
state,2,,Adamawa,Bottled water/demi john,0
state,2,,Adamawa,Protected well,13.1
state,2,,Adamawa,Unprotected well water,25.3
state,2,,Adamawa,Sachet water,1.1
state,2,,Adamawa,Unimproved bottled water,0
state,2,,Adamawa,Cart with tank,0
state,2,,Adamawa,Public tap/standpipe,25
state,2,,Adamawa,Protected spring,0.4
state,2,,Adamawa,Water piped to neighbor,0.5
state,2,,Adamawa,Other water source,0
state,2,,Adamawa,Tubewell/borehole,11.6
state,2,,Adamawa,Water piped into dwelling,0.2
state,2,,Adamawa,Water piped into yard/plot,0.6
state,2,,Adamawa,Surface water,15.7
state,2,,Adamawa,Unprotected spring,6.3
state,2,,Adamawa,Tanker truck,0
state,3,,Akwa Ibom,Bottled water/demi john,0.5
state,3,,Akwa Ibom,Water piped into yard/plot,2.2
state,3,,Akwa Ibom,Rainwater,0.8
state,3,,Akwa Ibom,Protected spring,0.3
state,3,,Akwa Ibom,Water piped to neighbor,3.9
state,3,,Akwa Ibom,Unprotected spring,1.1
state,3,,Akwa Ibom,Cart with tank,0
state,3,,Akwa Ibom,Tanker truck,0
state,3,,Akwa Ibom,Surface water,18.9
state,3,,Akwa Ibom,Water piped into dwelling,3.4
state,3,,Akwa Ibom,Unimproved bottled water,0
state,3,,Akwa Ibom,Protected well,0.1
state,3,,Akwa Ibom,Sachet water,2.6
state,3,,Akwa Ibom,Unprotected well water,0
state,3,,Akwa Ibom,Other water source,0
state,3,,Akwa Ibom,Public tap/standpipe,23.3
state,3,,Akwa Ibom,Tubewell/borehole,42.9
state,4,,Anambra,Protected spring,2.6
state,4,,Anambra,Tanker truck,2.6
state,4,,Anambra,Water piped to neighbor,0
state,4,,Anambra,Rainwater,3.3
state,4,,Anambra,Sachet water,11.3
state,4,,Anambra,Unprotected spring,4.2
state,4,,Anambra,Unimproved bottled water,0
state,4,,Anambra,Bottled water/demi john,0.7
state,4,,Anambra,Water piped into yard/plot,1
state,4,,Anambra,Tubewell/borehole,59.4
state,4,,Anambra,Water piped into dwelling,1.4
state,4,,Anambra,Surface water,6
state,4,,Anambra,Protected well,5.1
state,4,,Anambra,Unprotected well water,0
state,4,,Anambra,Public tap/standpipe,2.5
state,4,,Anambra,Cart with tank,0
state,4,,Anambra,Other water source,0
state,5,,Bauchi,Tanker truck,0.2
state,5,,Bauchi,Public tap/standpipe,12.5
state,5,,Bauchi,Protected spring,0.2
state,5,,Bauchi,Surface water,4
state,5,,Bauchi,Water piped to neighbor,0.4
state,5,,Bauchi,Cart with tank,4.2
state,5,,Bauchi,Water piped into yard/plot,0.3
state,5,,Bauchi,Bottled water/demi john,0
state,5,,Bauchi,Unprotected spring,5.5
state,5,,Bauchi,Tubewell/borehole,31.2
state,5,,Bauchi,Unprotected well water,27.6
state,5,,Bauchi,Protected well,10.9
state,5,,Bauchi,Rainwater,0.3
state,5,,Bauchi,Water piped into dwelling,2.2
state,5,,Bauchi,Other water source,0
state,5,,Bauchi,Sachet water,0.4
state,5,,Bauchi,Unimproved bottled water,0
state,6,,Bayelsa,Unimproved bottled water,0
state,6,,Bayelsa,Tubewell/borehole,25.3
state,6,,Bayelsa,Bottled water/demi john,0.4
state,6,,Bayelsa,Public tap/standpipe,13.9
state,6,,Bayelsa,Water piped into dwelling,2.6
state,6,,Bayelsa,Surface water,27.2
state,6,,Bayelsa,Tanker truck,0
state,6,,Bayelsa,Sachet water,15.9
state,6,,Bayelsa,Other water source,0
state,6,,Bayelsa,Unprotected well water,3.3
state,6,,Bayelsa,Water piped to neighbor,0.1
state,6,,Bayelsa,Protected well,0.4
state,6,,Bayelsa,Protected spring,0.1
state,6,,Bayelsa,Rainwater,9.8
state,6,,Bayelsa,Water piped into yard/plot,0.2
state,6,,Bayelsa,Unprotected spring,0.8
state,6,,Bayelsa,Cart with tank,0
state,7,,Benue,Tubewell/borehole,10.2
state,7,,Benue,Surface water,9.5
state,7,,Benue,Cart with tank,0
state,7,,Benue,Unimproved bottled water,0
state,7,,Benue,Tanker truck,0.2
state,7,,Benue,Unprotected spring,7.6
state,7,,Benue,Water piped into dwelling,0
state,7,,Benue,Rainwater,9.2
state,7,,Benue,Bottled water/demi john,0
state,7,,Benue,Protected well,50.6
state,7,,Benue,Water piped to neighbor,0.1
state,7,,Benue,Sachet water,5.7
