geo_level,geo_code,geo_version,name,variable,value
municipality,5263,,Abaqulusi,Flush toilet connected to public sewerage system,83789
municipality,5238,,Alfred Duma,Flush toilet connected to public sewerage system,118411
district,244,,Alfred Nzo,Flush toilet connected to public sewerage system,29883
municipality,2124,,Amahlathi,Flush toilet connected to public sewerage system,23126
district,525,,Amajuba,Flush toilet connected to public sewerage system,250343
district,212,,Amathole,Flush toilet connected to public sewerage system,127378
municipality,9334,,Ba-Phalaborwa,Flush toilet connected to public sewerage system,57081
municipality,1053,,Beaufort West,Flush toilet connected to public sewerage system,49446
municipality,9366,,Bela-Bela,Flush toilet connected to public sewerage system,54193
municipality,1013,,Bergrivier,Flush toilet connected to public sewerage system,57243
municipality,5276,,Big Five Hlabisa,Flush toilet connected to public sewerage system,4835
municipality,1047,,Bitou,Flush toilet connected to public sewerage system,54545
municipality,9351,,Blouberg,Flush toilet connected to public sewerage system,5114
municipality,2102,,Blue Crane Route,Flush toilet connected to public sewerage system,32842
district,637,,Bojanala,Flush toilet connected to public sewerage system,549507
municipality,1025,,Breede Valley,Flush toilet connected to public sewerage system,159815
district,292,,Buffalo City,Flush toilet connected to public sewerage system,595208
municipality,8325,,Bushbuckridge,Flush toilet connected to public sewerage system,27078
municipality,1033,,Cape Agulhas,Flush toilet connected to public sewerage system,32368
district,102,,Cape Winelands,Flush toilet connected to public sewerage system,820059
district,935,,Capricorn,Flush toilet connected to public sewerage system,305101
municipality,1012,,Cederberg,Flush toilet connected to public sewerage system,45803
district,105,,Central Karoo,Flush toilet connected to public sewerage system,71105
municipality,8301,,Chief Albert Luthuli,Flush toilet connected to public sewerage system,29193
district,213,,Chris Hani,Flush toilet connected to public sewerage system,251646
district,191,,City of Cape Town,Flush toilet connected to public sewerage system,3709571
district,798,,City of Johannesburg,Flush toilet connected to public sewerage system,4466293
municipality,6403,,City of Matlosana,Flush toilet connected to public sewerage system,398176
municipality,8326,,City of Mbombela,Flush toilet connected to public sewerage system,172948
district,799,,City of Tshwane,Flush toilet connected to public sewerage system,2534396
municipality,9345,,Collins Chabane,Flush toilet connected to public sewerage system,21402
municipality,5254,,Dannhauser,Flush toilet connected to public sewerage system,8288
municipality,3087,,Dawid Kruiper,Flush toilet connected to public sewerage system,68257
municipality,4192,,Dihlabeng,Flush toilet connected to public sewerage system,111696
municipality,3092,,Dikgatlong,Flush toilet connected to public sewerage system,26812
municipality,8306,,Dipaleseng,Flush toilet connected to public sewerage system,33644
municipality,6384,,Ditsobotla,Flush toilet connected to public sewerage system,98429
municipality,2101,,Dr Beyers Naude,Flush toilet connected to public sewerage system,77144
municipality,8316,,Dr JS Moroka,Flush toilet connected to public sewerage system,34726
district,640,,Dr Kenneth Kaunda,Flush toilet connected to public sewerage system,657818
municipality,5436,,Dr Nkosazana Dlamini Zuma,Flush toilet connected to public sewerage system,4215
municipality,8304,,Dr Pixley Ka Isaka Seme,Flush toilet connected to public sewerage system,52355
district,639,,Dr Ruth Segomotsi Mompati,Flush toilet connected to public sewerage system,162641
municipality,1023,,Drakenstein,Flush toilet connected to public sewerage system,272601
province,EC,,Eastern Cape,Flush toilet connected to public sewerage system,2733220
municipality,5261,,eDumbe,Flush toilet connected to public sewerage system,995
district,832,,Ehlanzeni,Flush toilet connected to public sewerage system,272220
district,797,,Ekurhuleni,Flush toilet connected to public sewerage system,2991803
municipality,9472,,Elias Motsoaledi,Flush toilet connected to public sewerage system,18697
municipality,2141,,Elundini,Flush toilet connected to public sewerage system,8682
municipality,5253,,Emadlangeni,Flush toilet connected to public sewerage system,7345
municipality,8314,,Emakhazeni,Flush toilet connected to public sewerage system,35654
municipality,8312,,Emalahleni,Flush toilet connected to public sewerage system,345904
municipality,2136,,Emalahleni,Flush toilet connected to public sewerage system,16266
municipality,7421,,Emfuleni,Flush toilet connected to public sewerage system,674803
municipality,3073,,Emthanjeni,Flush toilet connected to public sewerage system,38690
municipality,5241,,Endumeni,Flush toilet connected to public sewerage system,55425
municipality,2137,,Engcobo,Flush toilet connected to public sewerage system,3524
municipality,2139,,Enoch Mgijima,Flush toilet connected to public sewerage system,155753
municipality,9471,,Ephraim Mogale,Flush toilet connected to public sewerage system,8049
