geo_level,geo_code,geo_version,name,variable,value
district,101,,West Coast,Flush toilet connected to public sewerage system,383539
district,102,,Cape Winelands,Flush toilet connected to public sewerage system,820059
district,103,,Overberg,Flush toilet connected to public sewerage system,255441
district,104,,Garden Route,Flush toilet connected to public sewerage system,548738
district,105,,Central Karoo,Flush toilet connected to public sewerage system,71105
district,191,,City of Cape Town,Flush toilet connected to public sewerage system,3709571
district,210,,Sarah Baartman,Flush toilet connected to public sewerage system,385313
district,212,,Amathole,Flush toilet connected to public sewerage system,127378
district,213,,Chris Hani,Flush toilet connected to public sewerage system,251646
district,214,,Joe Gqabi,Flush toilet connected to public sewerage system,97421
district,215,,O.R.Tambo,Flush toilet connected to public sewerage system,90452
district,244,,Alfred Nzo,Flush toilet connected to public sewerage system,29883
district,292,,Buffalo City,Flush toilet connected to public sewerage system,595208
district,293,,Nelson Mandela Bay,Flush toilet connected to public sewerage system,1155919
district,306,,Namakwa,Flush toilet connected to public sewerage system,82093
district,307,,Pixley ka Seme,Flush toilet connected to public sewerage system,149723
district,308,,Z F Mgcawu,Flush toilet connected to public sewerage system,171115
district,309,,Frances Baard,Flush toilet connected to public sewerage system,313374
district,345,,John Taolo Gaetsewe,Flush toilet connected to public sewerage system,68533
district,416,,Xhariep,Flush toilet connected to public sewerage system,103749
district,418,,Lejweleputswa,Flush toilet connected to public sewerage system,538261
district,419,,Thabo Mofutsanyane,Flush toilet connected to public sewerage system,418929
district,420,,Fezile Dabi,Flush toilet connected to public sewerage system,402892
district,494,,Mangaung,Flush toilet connected to public sewerage system,513613
district,521,,Ugu,Flush toilet connected to public sewerage system,120523
district,522,,Umgungundlovu,Flush toilet connected to public sewerage system,406818
district,523,,Uthukela,Flush toilet connected to public sewerage system,155608
district,524,,Umzinyathi,Flush toilet connected to public sewerage system,82528
district,525,,Amajuba,Flush toilet connected to public sewerage system,250343
district,526,,Zululand,Flush toilet connected to public sewerage system,119154
district,527,,Umkhanyakude,Flush toilet connected to public sewerage system,27604
district,528,,King Cetshwayo,Flush toilet connected to public sewerage system,182562
district,529,,iLembe,Flush toilet connected to public sewerage system,126801
district,543,,Harry Gwala,Flush toilet connected to public sewerage system,74734
district,595,,eThekwini,Flush toilet connected to public sewerage system,2480808
district,637,,Bojanala,Flush toilet connected to public sewerage system,549507
district,638,,Ngaka Modiri Molema,Flush toilet connected to public sewerage system,253219
district,639,,Dr Ruth Segomotsi Mompati,Flush toilet connected to public sewerage system,162641
district,640,,Dr Kenneth Kaunda,Flush toilet connected to public sewerage system,657818
district,742,,Sedibeng,Flush toilet connected to public sewerage system,842507
district,748,,West Rand,Flush toilet connected to public sewerage system,684383
district,797,,Ekurhuleni,Flush toilet connected to public sewerage system,2991803
district,798,,City of Johannesburg,Flush toilet connected to public sewerage system,4466293
district,799,,City of Tshwane,Flush toilet connected to public sewerage system,2534396
district,830,,Gert Sibande,Flush toilet connected to public sewerage system,726120
district,831,,Nkangala,Flush toilet connected to public sewerage system,718933
district,832,,Ehlanzeni,Flush toilet connected to public sewerage system,272220
district,933,,Mopani,Flush toilet connected to public sewerage system,144596
district,934,,Vhembe,Flush toilet connected to public sewerage system,184935
district,935,,Capricorn,Flush toilet connected to public sewerage system,305101
district,936,,Waterberg,Flush toilet connected to public sewerage system,313042
district,947,,Sekhukhune,Flush toilet connected to public sewerage system,48035
municipality,1011,,Matzikama,Flush toilet connected to public sewerage system,65443
municipality,1012,,Cederberg,Flush toilet connected to public sewerage system,45803
municipality,1013,,Bergrivier,Flush toilet connected to public sewerage system,57243
municipality,1014,,Saldanha Bay,Flush toilet connected to public sewerage system,97848
municipality,1015,,Swartland,Flush toilet connected to public sewerage system,117203
municipality,1022,,Witzenberg,Flush toilet connected to public sewerage system,122594
municipality,1023,,Drakenstein,Flush toilet connected to public sewerage system,272601
municipality,1024,,Stellenbosch,Flush toilet connected to public sewerage system,168168
municipality,1025,,Breede Valley,Flush toilet connected to public sewerage system,159815
