geo_level,geo_code,name,variable,value
county,30,Baringo,Male,336322
county,30,Baringo,Total,666763
county,30,Baringo,Intersex,13
county,30,Baringo,Female,330428
county,36,Bomet,Male,434287
county,36,Bomet,Intersex,23
county,36,Bomet,Total,875689
county,36,Bomet,Female,441379
county,39,Bungoma,Total,1670570
county,39,Bungoma,Female,858389
county,39,Bungoma,Male,812146
county,39,Bungoma,Intersex,35
county,40,Busia,Intersex,28
county,40,Busia,Male,426252
county,40,Busia,Female,467401
county,40,Busia,Total,893681
county,28,Elgeyo-Marakwet,Intersex,12
county,28,Elgeyo-Marakwet,Total,454480
county,28,Elgeyo-Marakwet,Female,227151
county,28,Elgeyo-Marakwet,Male,227317
county,14,Embu,Male,304208
county,14,Embu,Female,304367
county,14,Embu,Intersex,24
county,14,Embu,Total,608599
county,7,Garissa,Total,841353
county,7,Garissa,Intersex,34
county,7,Garissa,Female,382344
county,7,Garissa,Male,458975
county,43,Homa Bay,Male,539560
county,43,Homa Bay,Total,1131950
county,43,Homa Bay,Intersex,23
county,43,Homa Bay,Female,592367
county,11,Isiolo,Intersex,9
county,11,Isiolo,Female,128483
county,11,Isiolo,Total,268002
county,11,Isiolo,Male,139510
county,34,Kajiado,Female,560704
county,34,Kajiado,Male,557098
county,34,Kajiado,Intersex,38
county,34,Kajiado,Total,1117840
county,37,Kakamega,Total,1867579
county,37,Kakamega,Female,970406
county,37,Kakamega,Intersex,40
county,37,Kakamega,Male,897133
country,KE,Kenya,Total,47564296
country,KE,Kenya,Intersex,1524
country,KE,Kenya,Female,24014716
country,KE,Kenya,Male,23548056
county,35,Kericho,Female,451008
county,35,Kericho,Intersex,28
county,35,Kericho,Total,901777
county,35,Kericho,Male,450741
county,22,Kiambu,Intersex,135
county,22,Kiambu,Female,1230454
county,22,Kiambu,Male,1187146
county,22,Kiambu,Total,2417735
county,3,Kilifi,Female,749673
county,3,Kilifi,Intersex,25
county,3,Kilifi,Male,704089
county,3,Kilifi,Total,1453787
county,20,Kirinyaga,Male,302011
county,20,Kirinyaga,Female,308369
county,20,Kirinyaga,Total,610411
county,20,Kirinyaga,Intersex,31
county,45,Kisii,Male,605784
county,45,Kisii,Intersex,38
county,45,Kisii,Female,661038
county,45,Kisii,Total,1266860
county,42,Kisumu,Male,560942
county,42,Kisumu,Total,1155574
county,42,Kisumu,Female,594609
county,42,Kisumu,Intersex,23
county,15,Kitui,Intersex,33
county,15,Kitui,Female,587151
county,15,Kitui,Total,1136187
county,15,Kitui,Male,549003
county,2,Kwale,Total,866820
county,2,Kwale,Intersex,18
county,2,Kwale,Female,441681
