geo_level,geo_code,geo_version,name,variable,value
municipality,BUF,,Buffalo City,Female,"430,842"
municipality,BUF,,Buffalo City,Male,"404,155"
municipality,BUF,,Buffalo City,Total,"834,997"
municipality,CPT,,City of Cape Town,Female,"2,034,175"
municipality,CPT,,City of Cape Town,Male,"1,970,841"
municipality,CPT,,City of Cape Town,Total,"4,005,016"
municipality,EC101,,Dr Beyers Naude,Female,"42,100"
municipality,EC101,,Dr Beyers Naude,Male,"40,097"
municipality,EC101,,Dr Beyers Naude,Total,"82,197"
municipality,EC102,,Blue Crane Route,Female,"18,223"
municipality,EC102,,Blue Crane Route,Male,"17,841"
municipality,EC102,,Blue Crane Route,Total,"36,064"
municipality,EC104,,Makana,Female,42842
municipality,EC104,,Makana,Male,39218
municipality,EC104,,Makana,Total,82060
municipality,EC105,,Ndlambe,Female,33084
municipality,EC105,,Ndlambe,Male,30096
municipality,EC105,,Ndlambe,Total,63180
municipality,EC106,,Sundays River Valley,Female,28656
municipality,EC106,,Sundays River Valley,Male,31136
municipality,EC106,,Sundays River Valley,Total,59792
municipality,EC108,,Kouga,Female,"57,163"
municipality,EC108,,Kouga,Male,"55,778"
municipality,EC108,,Kouga,Total,"112,941"
municipality,EC109,,Kou-Kamma,Female,"21,735"
municipality,EC109,,Kou-Kamma,Male,"21,953"
municipality,EC109,,Kou-Kamma,Total,"43,688"
municipality,EC121,,Mbhashe,Female,148792
municipality,EC121,,Mbhashe,Male,128458
municipality,EC121,,Mbhashe,Total,277250
municipality,EC122,,Mnquma,Female,130085
municipality,EC122,,Mnquma,Male,116728
municipality,EC122,,Mnquma,Total,246813
municipality,EC123,,Great Kei,Female,"16,469"
municipality,EC123,,Great Kei,Male,"15,223"
municipality,EC123,,Great Kei,Total,"31,692"
municipality,EC124,,Amahlathi,Female,"52,693"
municipality,EC124,,Amahlathi,Male,"49,133"
municipality,EC124,,Amahlathi,Total,"101,826"
municipality,EC126,,Ngqushwa,Female,33721
municipality,EC126,,Ngqushwa,Male,29973
municipality,EC126,,Ngqushwa,Total,63694
municipality,EC129,,Raymond Mhlaba,Female,82676
municipality,EC129,,Raymond Mhlaba,Male,76840
municipality,EC129,,Raymond Mhlaba,Total,159516
municipality,EC131,,Inxuba Yethemba,Female,"37,061"
municipality,EC131,,Inxuba Yethemba,Male,"33,432"
municipality,EC131,,Inxuba Yethemba,Total,"70,493"
municipality,EC135,,Intsika Yethu,Female,"78,727"
municipality,EC135,,Intsika Yethu,Male,"73,432"
municipality,EC135,,Intsika Yethu,Total,"152,159"
municipality,EC136,,Emalahleni,Female,"65,042"
municipality,EC136,,Emalahleni,Male,"59,490"
municipality,EC136,,Emalahleni,Total,"124,532"
municipality,EC137,,Engcobo,Female,"87,313"
municipality,EC137,,Engcobo,Male,"74,701"
municipality,EC137,,Engcobo,Total,162014
municipality,EC138,,Sakhisizwe,Female,32898
municipality,EC138,,Sakhisizwe,Male,30948
municipality,EC138,,Sakhisizwe,Total,63846
municipality,EC139,,Enoch Mgijima,Female,"140,208"
municipality,EC139,,Enoch Mgijima,Male,"126,803"
municipality,EC139,,Enoch Mgijima,Total,"267,011"
municipality,EC141,,Elundini,Female,"74,981"
municipality,EC141,,Elundini,Male,"69,948"
municipality,EC141,,Elundini,Total,"144,929"
municipality,EC142,,Senqu,Female,75759
municipality,EC142,,Senqu,Male,64961
municipality,EC142,,Senqu,Total,140720
municipality,EC145,,Walter Sisulu,Female,45728
municipality,EC145,,Walter Sisulu,Male,41535
municipality,EC145,,Walter Sisulu,Total,87263
municipality,EC153,,Ngquza Hill,Female,160549
municipality,EC153,,Ngquza Hill,Male,142829
municipality,EC153,,Ngquza Hill,Total,303378
municipality,EC154,,Port St Johns,Female,89701
municipality,EC154,,Port St Johns,Male,77077
municipality,EC154,,Port St Johns,Total,166778
municipality,EC155,,Nyandeni,Female,165899
municipality,EC155,,Nyandeni,Male,143803
municipality,EC155,,Nyandeni,Total,309702
municipality,EC156,,Mhlontlo,Female,100264
municipality,EC156,,Mhlontlo,Male,88911
municipality,EC156,,Mhlontlo,Total,189175
municipality,EC157,,King Sabata Dalindyebo,Female,"261,088"
municipality,EC157,,King Sabata Dalindyebo,Male,"227,261"
municipality,EC157,,King Sabata Dalindyebo,Total,"488,349"
municipality,EC441,,Matatiele,Female,119159
municipality,EC441,,Matatiele,Male,100288
municipality,EC441,,Matatiele,Total,219447
municipality,EC442,,Umzimvubu,Female,107491
municipality,EC442,,Umzimvubu,Male,92129
municipality,EC442,,Umzimvubu,Total,199620
municipality,EC443,,Mbizana,Female,174127
municipality,EC443,,Mbizana,Male,145821
municipality,EC443,,Mbizana,Total,319948
municipality,EC444,,Ntabankulu,Female,69880
municipality,EC444,,Ntabankulu,Male,58968
municipality,EC444,,Ntabankulu,Total,128848
municipality,EKU,,Ekurhuleni,Female,"1,642,354"
municipality,EKU,,Ekurhuleni,Male,1736750
municipality,EKU,,Ekurhuleni,Total,"3,379,104"
municipality,ETH,,eThekwini,Female,1886610
municipality,ETH,,eThekwini,Male,1815621
municipality,ETH,,eThekwini,Total,3702231
municipality,FS161,,Letsemeng,Female,18904
municipality,FS161,,Letsemeng,Male,21140
municipality,FS161,,Letsemeng,Total,40044
municipality,FS162,,Kopanong,Female,"25,188"
municipality,FS162,,Kopanong,Male,"24,812"
municipality,FS162,,Kopanong,Total,"50,000"
municipality,FS163,,Mohokare,Female,19317
municipality,FS163,,Mohokare,Male,16523
municipality,FS163,,Mohokare,Total,35840
municipality,FS181,,Masilonyana,Female,30809
municipality,FS181,,Masilonyana,Male,31961
municipality,FS181,,Masilonyana,Total,62770
municipality,FS182,,Tokologo,Female,14416
municipality,FS182,,Tokologo,Male,14733
municipality,FS182,,Tokologo,Total,29149
municipality,FS183,,Tswelopele,Female,24515
municipality,FS183,,Tswelopele,Male,22858
municipality,FS183,,Tswelopele,Total,47373
municipality,FS184,,Matjhabeng,Female,213293
municipality,FS184,,Matjhabeng,Male,215820
municipality,FS184,,Matjhabeng,Total,429113
municipality,FS185,,Nala,Female,40477
municipality,FS185,,Nala,Male,38038
municipality,FS185,,Nala,Total,78515
municipality,FS191,,Setsoto,Female,61962
