geo_level,geo_code,name,population_sex_2019,total
county,30,Baringo,Female,330428
county,36,Bomet,Female,441379
county,39,Bungoma,Female,858389
county,40,Busia,Female,467401
county,28,Elgeyo-Marakwet,Female,227151
county,14,Embu,Female,304367
county,7,Garissa,Female,382344
county,43,Homa Bay,Female,592367
county,11,Isiolo,Female,128483
county,34,Kajiado,Female,560704
county,37,Kakamega,Female,970406
country,KE,Kenya,Female,24014716
county,35,Kericho,Female,451008
county,22,Kiambu,Female,1230454
county,3,Kilifi,Female,749673
county,20,Kirinyaga,Female,308369
county,45,Kisii,Female,661038
county,42,Kisumu,Female,594609
county,15,Kitui,Female,587151
county,2,Kwale,Female,441681
county,31,Laikipia,Female,259102
county,5,Lamu,Female,67813
county,16,Machakos,Female,711191
county,17,Makueni,Female,497942
county,9,Mandera,Female,432444
county,10,Marsabit,Female,216219
county,12,Meru,Female,777975
county,44,Migori,Female,580214
county,1,Mombasa,Female,598046
county,21,Murang'a,Female,532669
county,47,Nairobi,Female,2204376
county,32,Nakuru,Female,1084835
county,29,Nandi,Female,444430
county,33,Narok,Female,578805
county,46,Nyamira,Female,314656
county,18,Nyandarua,Female,323247
county,19,Nyeri,Female,384845
county,25,Samburu,Female,153546
county,41,Siaya,Female,521496
county,6,Taita Taveta,Female,167327
county,4,Tana River,Female,157391
county,13,Tharaka-Nithi,Female,199406
county,26,Trans Nzoia,Female,501206
county,23,Turkana,Female,448868
county,27,Uasin Gishu,Female,582889
county,38,Vihiga,Female,306323
county,8,Wajir,Female,365840
county,24,West Pokot,Female,314213
subcounty,,Aberdare Forest,Female,48
subcounty,,Ainabkoi,Female,69835
subcounty,,Athi River,Female,158172
subcounty,,Awendo,Female,60939
subcounty,,Balambala,Female,11979
subcounty,,Banisa,Female,74288
subcounty,,Baringo Central,Female,48829
subcounty,,Baringo North,Female,52500
subcounty,,Belgut,Female,72564
subcounty,,Bomet Central,Female,87429
subcounty,,Bomet East,Female,73172
subcounty,,Bondo,Female,101917
subcounty,,Borabu,Female,36431
subcounty,,Bumula,Female,112523
subcounty,,Buna,Female,23088
subcounty,,Bungoma Central,Female,91438
subcounty,,Bungoma East,Female,58771
subcounty,,Bungoma North,Female,62526
subcounty,,Bungoma South,Female,148055
subcounty,,Bungoma West,Female,61649
subcounty,,Bunyala,Female,44511
subcounty,,Bureti,Female,100642
subcounty,,Busia,Female,73373
subcounty,,Butere,Female,80463
subcounty,,Butula,Female,75195
subcounty,,Buuri East,Female,38497
subcounty,,Buuri West,Female,40264
subcounty,,Changamwe,Female,63121
subcounty,,Chepalungu,Female,84912
subcounty,,Cheptais,Female,68312
subcounty,,Chesumei,Female,83180
subcounty,,Chonyi,Female,32807
subcounty,,Dadaab,Female,86185
subcounty,,Dagoretti,Female,216526
subcounty,,East Pokot,Female,39459
subcounty,,Eldas,Female,43759
subcounty,,Embakasi,Female,496270
subcounty,,Embu East,Female,64991
subcounty,,Embu North,Female,39888
subcounty,,Embu West,Female,63966
subcounty,,Emuhaya,Female,50633
subcounty,,Endebess,Female,55689
subcounty,,Etago,Female,43647
subcounty,,Fafi,Female,61413
subcounty,,Ganze,Female,76981
subcounty,,Garbatulla,Female,45068
subcounty,,Garissa,Female,80449
subcounty,,Gatanga,Female,93548
subcounty,,Gatundu North,Female,55678
subcounty,,Gatundu South,Female,61714
subcounty,,Gem,Female,94092
subcounty,,Gilgil,Female,92247
subcounty,,Githunguri,Female,83187
subcounty,,Gucha,Female,44108
subcounty,,Gucha South,Female,43598
