geo_level,geo_code,geo_version,name,variable,value
county,30,,Baringo,Tuberculosis Treatment,0
county,30,,Baringo,HIV/AIDS,0
county,30,,Baringo,Malaria,6.3
county,30,,Baringo,Not Stated,0
county,30,,Baringo,Maternal & Child Health Care (MCH),71.2
county,30,,Baringo,Other,18.7
county,30,,Baringo,Nutrition Feeding,3.9
county,36,,Bomet,Other,21.9
county,36,,Bomet,Not Stated,0
county,36,,Bomet,Maternal & Child Health Care (MCH),5.1
county,36,,Bomet,Tuberculosis Treatment,0.6
county,36,,Bomet,Nutrition Feeding,0.3
county,36,,Bomet,HIV/AIDS,1.2
county,36,,Bomet,Malaria,71
county,39,,Bungoma,Nutrition Feeding,0
county,39,,Bungoma,Malaria,3.3
county,39,,Bungoma,Tuberculosis Treatment,0.2
county,39,,Bungoma,Maternal & Child Health Care (MCH),24.8
county,39,,Bungoma,Other,61.8
county,39,,Bungoma,HIV/AIDS,9.9
county,39,,Bungoma,Not Stated,0
county,40,,Busia,HIV/AIDS,5.1
county,40,,Busia,Maternal & Child Health Care (MCH),28.4
county,40,,Busia,Malaria,23.9
county,40,,Busia,Nutrition Feeding,0
county,40,,Busia,Other,42.4
county,40,,Busia,Not Stated,0
county,40,,Busia,Tuberculosis Treatment,0.3
county,28,,Elgeyo / Marakwet,Malaria,8
county,28,,Elgeyo / Marakwet,Not Stated,0
county,28,,Elgeyo / Marakwet,Maternal & Child Health Care (MCH),11.1
county,28,,Elgeyo / Marakwet,Tuberculosis Treatment,0.9
county,28,,Elgeyo / Marakwet,Other,79
county,28,,Elgeyo / Marakwet,Nutrition Feeding,0.9
county,28,,Elgeyo / Marakwet,HIV/AIDS,0
county,14,,Embu,Maternal & Child Health Care (MCH),43
county,14,,Embu,Not Stated,0
county,14,,Embu,Other,26.8
county,14,,Embu,Tuberculosis Treatment,0
county,14,,Embu,HIV/AIDS,4
county,14,,Embu,Malaria,24.1
county,14,,Embu,Nutrition Feeding,2.1
county,7,,Garissa,HIV/AIDS,0
county,7,,Garissa,Other,27.1
county,7,,Garissa,Malaria,39.8
county,7,,Garissa,Not Stated,0
county,7,,Garissa,Tuberculosis Treatment,0
county,7,,Garissa,Maternal & Child Health Care (MCH),26.6
county,7,,Garissa,Nutrition Feeding,6.4
county,43,,Homa Bay,Nutrition Feeding,1
county,43,,Homa Bay,Maternal & Child Health Care (MCH),6.7
county,43,,Homa Bay,Tuberculosis Treatment,0.1
county,43,,Homa Bay,Other,65.7
county,43,,Homa Bay,Malaria,25.8
county,43,,Homa Bay,Not Stated,0
county,43,,Homa Bay,HIV/AIDS,0.7
county,11,,Isiolo,Nutrition Feeding,0.2
county,11,,Isiolo,HIV/AIDS,0.6
county,11,,Isiolo,Other,75.7
county,11,,Isiolo,Tuberculosis Treatment,0.2
county,11,,Isiolo,Malaria,11.2
county,11,,Isiolo,Maternal & Child Health Care (MCH),12.1
county,11,,Isiolo,Not Stated,0
county,34,,Kajiado,Not Stated,0
county,34,,Kajiado,Other,15.5
county,34,,Kajiado,Maternal & Child Health Care (MCH),50.2
county,34,,Kajiado,HIV/AIDS,9.7
county,34,,Kajiado,Malaria,24.6
county,34,,Kajiado,Tuberculosis Treatment,0
county,34,,Kajiado,Nutrition Feeding,0
county,37,,Kakamega,Nutrition Feeding,0.5
county,37,,Kakamega,Malaria,25.2
county,37,,Kakamega,Tuberculosis Treatment,0
county,37,,Kakamega,Other,31.3
county,37,,Kakamega,Not Stated,0.2
county,37,,Kakamega,HIV/AIDS,8.5
county,37,,Kakamega,Maternal & Child Health Care (MCH),34.3
county,35,,Kericho,Nutrition Feeding,0.6
county,35,,Kericho,Tuberculosis Treatment,0
