geo_level,geo_code,geo_version,name,value
country,KE,,Kenya,1.1
county,1,,Mombasa,0.7
county,2,,Kwale,0.7
county,3,,Kilifi,1.3
county,4,,Tana River,0
county,5,,Lamu,2.2
county,6,,Taita Taveta,0.8
county,7,,Garissa,1.9
county,8,,Wajir,2
county,9,,Mandera,0.4
county,10,,Marsabit,0.7
county,11,,Isiolo,0.9
county,12,,Meru,0.6
county,13,,Tharaka-Nithi,0.5
county,14,,Embu,1.7
county,15,,Kitui,1.2
county,16,,Machakos,2.1
county,17,,Makueni,1.2
county,18,,Nyandarua,2.8
county,19,,Nyeri,3.3
county,20,,Kirinyaga,0.6
county,21,,Murang'a,1.6
county,22,,Kiambu,3
county,23,,Turkana,0
county,24,,West Pokot,0.4
county,25,,Samburu,0.8
county,26,,Trans Nzoia,0.2
county,27,,Uasin Gishu,1.3
county,28,,Elgeyo / Marakwet,0
county,29,,Nandi,1.1
county,30,,Baringo,0.2
county,31,,Laikipia,3.3
county,32,,Nakuru,1.7
county,33,,Narok,0.3
county,34,,Kajiado,1
county,35,,Kericho,0.8
county,36,,Bomet,0.5
county,37,,Kakamega,0.4
county,38,,Vihiga,0.5
county,39,,Bungoma,0.3
county,40,,Busia,1.2
county,41,,Siaya,0.7
county,42,,Kisumu,0.2
county,43,,Homa Bay,0.5
county,44,,Migori,0.2
county,45,,Kisii,2
county,46,,Nyamira,1.3
county,47,,Nairobi City,2.5
