geo_level,geo_code,geo_version,name,variable,value
country,KE,,Kenya,Place to wash hands,21.2
country,KE,,Kenya,Not stated,0.4
country,KE,,Kenya,No place to wash hands,78.4
county,1,,Mombasa,Not stated,0.2
county,1,,Mombasa,Place to wash hands,18.6
county,1,,Mombasa,No place to wash hands,81.2
county,2,,Kwale,No place to wash hands,87.2
county,2,,Kwale,Place to wash hands,12.8
county,2,,Kwale,Not stated,0
county,3,,Kilifi,Place to wash hands,17.2
county,3,,Kilifi,Not stated,1.8
county,3,,Kilifi,No place to wash hands,81
county,4,,Tana River,No place to wash hands,82.2
county,4,,Tana River,Place to wash hands,17.7
county,4,,Tana River,Not stated,0.1
county,5,,Lamu,No place to wash hands,78.2
county,5,,Lamu,Not stated,0
county,5,,Lamu,Place to wash hands,21.8
county,6,,Taita / Taveta,Not stated,0
county,6,,Taita / Taveta,Place to wash hands,37.6
county,6,,Taita / Taveta,No place to wash hands,62.4
county,7,,Garissa,Not stated,1.3
county,7,,Garissa,Place to wash hands,6.3
county,7,,Garissa,No place to wash hands,92.4
county,8,,Wajir,Not stated,0.4
county,8,,Wajir,Place to wash hands,3.1
county,8,,Wajir,No place to wash hands,96.5
county,9,,Mandera,Place to wash hands,14.3
county,9,,Mandera,No place to wash hands,85.7
county,9,,Mandera,Not stated,0
county,10,,Marsabit,Not stated,0
county,10,,Marsabit,No place to wash hands,85.4
county,10,,Marsabit,Place to wash hands,14.6
county,11,,Isiolo,No place to wash hands,52.1
county,11,,Isiolo,Place to wash hands,47.9
county,11,,Isiolo,Not stated,0
county,12,,Meru,Place to wash hands,35
county,12,,Meru,Not stated,0
county,12,,Meru,No place to wash hands,65
county,13,,Tharaka-Nithi,No place to wash hands,86
county,13,,Tharaka-Nithi,Place to wash hands,13.8
county,13,,Tharaka-Nithi,Not stated,0.2
county,14,,Embu,Place to wash hands,15.4
county,14,,Embu,Not stated,0.2
county,14,,Embu,No place to wash hands,84.4
county,15,,Kitui,Not stated,0.2
county,15,,Kitui,No place to wash hands,88.6
county,15,,Kitui,Place to wash hands,11.1
county,16,,Machakos,No place to wash hands,83.1
county,16,,Machakos,Place to wash hands,16.2
county,16,,Machakos,Not stated,0.7
county,17,,Makueni,Place to wash hands,4.6
county,17,,Makueni,No place to wash hands,95.2
county,17,,Makueni,Not stated,0.2
county,18,,Nyandarua,Place to wash hands,12.1
county,18,,Nyandarua,No place to wash hands,87.9
county,18,,Nyandarua,Not stated,0
county,19,,Nyeri,Place to wash hands,20.1
county,19,,Nyeri,No place to wash hands,79.9
county,19,,Nyeri,Not stated,0
county,20,,Kirinyaga,Place to wash hands,20.6
