geo_level,geo_code,geo_version,name,variable,value
subcounty,,,Hamisi,2000,9.8
subcounty,,,Hamisi,2001,10
subcounty,,,Hamisi,2002,9.9
subcounty,,,Hamisi,2003,9.8
subcounty,,,Hamisi,2004,9.6
subcounty,,,Hamisi,2005,8.9
subcounty,,,Hamisi,2006,8.7
subcounty,,,Hamisi,2007,8.2
subcounty,,,Hamisi,2008,8.3
subcounty,,,Hamisi,2009,7.9
subcounty,,,Hamisi,2010,8
subcounty,,,Hamisi,2011,7.9
subcounty,,,Hamisi,2012,7.8
subcounty,,,Hamisi,2013,6.7
subcounty,,,Hamisi,2014,6.6
subcounty,,,Hamisi,2015,7.1
subcounty,,,Hamisi,2016,6.5
subcounty,,,Hamisi,2017,6.7
subcounty,,,Bomachoge Chache,2000,9.5
subcounty,,,Bomachoge Chache,2001,9.1
subcounty,,,Bomachoge Chache,2002,8.9
subcounty,,,Bomachoge Chache,2003,7.9
subcounty,,,Bomachoge Chache,2004,7.9
subcounty,,,Bomachoge Chache,2005,7.5
subcounty,,,Bomachoge Chache,2006,7.4
subcounty,,,Bomachoge Chache,2007,7.4
subcounty,,,Bomachoge Chache,2008,8.2
subcounty,,,Bomachoge Chache,2009,8.1
subcounty,,,Bomachoge Chache,2010,8.4
subcounty,,,Bomachoge Chache,2011,8.5
subcounty,,,Bomachoge Chache,2012,8.8
subcounty,,,Bomachoge Chache,2013,7.8
subcounty,,,Bomachoge Chache,2014,7.3
subcounty,,,Bomachoge Chache,2015,7.3
subcounty,,,Bomachoge Chache,2016,7.2
subcounty,,,Bomachoge Chache,2017,7.2
subcounty,,,Gilgil,2000,7
subcounty,,,Gilgil,2001,6.9
subcounty,,,Gilgil,2002,6.5
subcounty,,,Gilgil,2003,6.2
subcounty,,,Gilgil,2004,6
subcounty,,,Gilgil,2005,6
subcounty,,,Gilgil,2006,5.8
subcounty,,,Gilgil,2007,5.5
subcounty,,,Gilgil,2008,5.2
subcounty,,,Gilgil,2009,5.1
subcounty,,,Gilgil,2010,5
subcounty,,,Gilgil,2011,5.2
subcounty,,,Gilgil,2012,5.3
subcounty,,,Gilgil,2013,5.2
subcounty,,,Gilgil,2014,5.1
subcounty,,,Gilgil,2015,5.1
subcounty,,,Gilgil,2016,5
subcounty,,,Gilgil,2017,4.9
subcounty,,,Balambala,2000,2.6
subcounty,,,Balambala,2001,2.2
subcounty,,,Balambala,2002,1.9
subcounty,,,Balambala,2003,1.7
subcounty,,,Balambala,2004,1.4
subcounty,,,Balambala,2005,1.2
subcounty,,,Balambala,2006,1
subcounty,,,Balambala,2007,1
subcounty,,,Balambala,2008,1
subcounty,,,Balambala,2009,0.9
subcounty,,,Balambala,2010,0.9
subcounty,,,Balambala,2011,0.9
subcounty,,,Balambala,2012,0.9
subcounty,,,Balambala,2013,1
subcounty,,,Balambala,2014,0.9
subcounty,,,Balambala,2015,1
subcounty,,,Balambala,2016,1.1
subcounty,,,Balambala,2017,1.1
subcounty,,,Emurua Dikirr,2000,6.5
subcounty,,,Emurua Dikirr,2001,6.3
subcounty,,,Emurua Dikirr,2002,6
subcounty,,,Emurua Dikirr,2003,5
subcounty,,,Emurua Dikirr,2004,4.8
subcounty,,,Emurua Dikirr,2005,4.7
subcounty,,,Emurua Dikirr,2006,4.4
subcounty,,,Emurua Dikirr,2007,4.7
subcounty,,,Emurua Dikirr,2008,4.4
subcounty,,,Emurua Dikirr,2009,4.5
subcounty,,,Emurua Dikirr,2010,4.9
subcounty,,,Emurua Dikirr,2011,4.8
subcounty,,,Emurua Dikirr,2012,4.9
subcounty,,,Emurua Dikirr,2013,4.8
subcounty,,,Emurua Dikirr,2014,4.7
subcounty,,,Emurua Dikirr,2015,4.6
subcounty,,,Emurua Dikirr,2016,4.7
subcounty,,,Emurua Dikirr,2017,4.7
subcounty,,,Githunguri,2000,6.7
subcounty,,,Githunguri,2001,6.6
subcounty,,,Githunguri,2002,6.3
subcounty,,,Githunguri,2003,6
subcounty,,,Githunguri,2004,5.9
subcounty,,,Githunguri,2005,6
subcounty,,,Githunguri,2006,5.7
subcounty,,,Githunguri,2007,5.4
subcounty,,,Githunguri,2008,4.7
subcounty,,,Githunguri,2009,4.9
subcounty,,,Githunguri,2010,4.5
subcounty,,,Githunguri,2011,4.5
subcounty,,,Githunguri,2012,4.4
subcounty,,,Githunguri,2013,4.4
subcounty,,,Githunguri,2014,4.4
subcounty,,,Githunguri,2015,4.5
subcounty,,,Githunguri,2016,4.3
subcounty,,,Githunguri,2017,4.1
subcounty,,,Gichugu,2000,6.3
subcounty,,,Gichugu,2001,5.8
subcounty,,,Gichugu,2002,5.1
subcounty,,,Gichugu,2003,4.8
subcounty,,,Gichugu,2004,4.2
subcounty,,,Gichugu,2005,4.1
subcounty,,,Gichugu,2006,3.9
subcounty,,,Gichugu,2007,3.6
subcounty,,,Gichugu,2008,2.9
subcounty,,,Gichugu,2009,2.9
subcounty,,,Gichugu,2010,2.8
subcounty,,,Gichugu,2011,2.8
subcounty,,,Gichugu,2012,2.7
subcounty,,,Gichugu,2013,2.8
