geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,47,,Nairobi,General Administration Planning and Support Services,Approved Budget,428.12
county,47,,Nairobi,General Administration Planning and Support Services,Actual Payments,157.44
county,47,,Nairobi,General Administration Planning and Support Services,Variance,270.68
county,47,,Nairobi,Co-operative Development and Audit Services,Approved Budget,46.28
county,47,,Nairobi,Co-operative Development and Audit Services,Actual Payments,5.24
county,47,,Nairobi,Co-operative Development and Audit Services,Variance,41.04
county,47,,Nairobi,Tourism Promotion and Marketing,Approved Budget,43.00
county,47,,Nairobi,Tourism Promotion and Marketing,Actual Payments,0.92
county,47,,Nairobi,Tourism Promotion and Marketing,Variance,42.08
county,47,,Nairobi,Trade development and Market Services,Approved Budget,568.00
county,47,,Nairobi,Trade development and Market Services,Actual Payments,1.04
county,47,,Nairobi,Trade development and Market Services,Variance,566.96
