geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,1,,Mombasa,Transforming Health systems for Universal Care Project (WB),Annual CARA Allocation,37.92
county,1,,Mombasa,Transforming Health systems for Universal Care Project (WB),Annual Budget Allocation ,37.92
county,1,,Mombasa,Transforming Health systems for Universal Care Project (WB),Actual Receipts,1.72
county,1,,Mombasa,IDA (WB) Credit: Kenya Devolution Support Project (KDSP) Level 1 Grant,Annual CARA Allocation,30.00
county,1,,Mombasa,IDA (WB) Credit: Kenya Devolution Support Project (KDSP) Level 1 Grant,Annual Budget Allocation ,83.33
county,1,,Mombasa,IDA (WB) Credit: Kenya Devolution Support Project (KDSP) Level 1 Grant,Actual Receipts,0.00
county,1,,Mombasa,IDA (WB) Credit: Kenya Urban Support Project (KUSP) -Urban Development Grant (UDG),Annual CARA Allocation,0.00
county,1,,Mombasa,IDA (WB) Credit: Kenya Urban Support Project (KUSP) -Urban Development Grant (UDG),Annual Budget Allocation ,259.42
county,1,,Mombasa,IDA (WB) Credit: Kenya Urban Support Project (KUSP) -Urban Development Grant (UDG),Actual Receipts,0.00
county,1,,Mombasa,DANIDA Grant,Annual CARA Allocation,24.56
county,1,,Mombasa,DANIDA Grant,Annual Budget Allocation ,24.56
county,1,,Mombasa,DANIDA Grant,Actual Receipts,0.00
county,1,,Mombasa,IDA (WB) Credit: Water & Sanitation Development Project (WSDP),Annual CARA Allocation,1550.00
county,1,,Mombasa,IDA (WB) Credit: Water & Sanitation Development Project (WSDP),Annual Budget Allocation ,0.00
county,1,,Mombasa,IDA (WB) Credit: Water & Sanitation Development Project (WSDP),Actual Receipts,0.00
county,1,,Mombasa,Sweden - Agricultural Sector Development Support Programme (ASDSP) II,Annual CARA Allocation,16.37
county,1,,Mombasa,Sweden - Agricultural Sector Development Support Programme (ASDSP) II,Annual Budget Allocation ,16.37
county,1,,Mombasa,Sweden - Agricultural Sector Development Support Programme (ASDSP) II,Actual Receipts,0.00
