geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,1,,Mombasa,Operations and Maintenance,Budget,5063.08
county,1,,Mombasa,Operations and Maintenance,Expenditure,2100.65
county,1,,Mombasa,Compensation to Employees,Budget,3676.49
county,1,,Mombasa,Compensation to Employees,Expenditure,879.83
county,47,,Nairobi,Operations and Maintenance,Budget,11468.65
county,47,,Nairobi,Operations and Maintenance,Expenditure,4555.16
county,47,,Nairobi,Compensation to Employees,Budget,14241.48
county,47,,Nairobi,Compensation to Employees,Expenditure,5919.79
county,17,,Makueni ,Operations and Maintenance,Budget,2387.66
county,17,,Makueni ,Operations and Maintenance,Exchequer Issues,1027.57
county,17,,Makueni ,Operations and Maintenance,Expenditure,977.77
county,17,,Makueni ,Compensation to Employees,Budget,3735.82
county,17,,Makueni ,Compensation to Employees,Exchequer Issues,1850.76
county,17,,Makueni ,Compensation to Employees,Expenditure,1847.23
