geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,17,,Makueni,General administration & planning,Revised Budget Estimates,44.25
county,17,,Makueni,General administration & planning,Cumulative Expenditure,19.77
county,17,,Makueni,Trade marketing & promotion,Revised Budget Estimates,91.16
county,17,,Makueni,Trade marketing & promotion,Cumulative Expenditure,3.01
county,17,,Makueni, Industrial development and promotion,Revised Budget Estimates,3.66
county,17,,Makueni, Industrial development and promotion,Cumulative Expenditure,0.50
county,17,,Makueni,Tourism development & promotion,Revised Budget Estimates,8.48
county,17,,Makueni,Tourism development & promotion,Cumulative Expenditure,2.60
county,17,,Makueni,Cooperative development and management,Revised Budget Estimates,6.89
county,17,,Makueni,Cooperative development and management,Cumulative Expenditure,3.66
