geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,1,,Mombasa,Administration Unit,Approved Budget,329.77
county,1,,Mombasa,Administration Unit,Actual Payments,114.35
county,1,,Mombasa,Administration Unit,Variance,215.42
county,1,,Mombasa,Trade Development,Approved Budget,83.41
county,1,,Mombasa,Trade Development,Actual Payments,2.06
county,1,,Mombasa,Trade Development,Variance,81.35
county,1,,Mombasa,Development of Tourism,Approved Budget,98.41
county,1,,Mombasa,Development of Tourism,Actual Payments,0.00
county,1,,Mombasa,Development of Tourism,Variance,98.41
county,1,,Mombasa,Investment Promotion and Products Headquarters,Approved Budget,91.41
county,1,,Mombasa,Investment Promotion and Products Headquarters,Actual Payments,0.00
county,1,,Mombasa,Investment Promotion and Products Headquarters,Variance,91.41
county,1,,Mombasa,Ease of Doing Business-Headquarters,Approved Budget,14.00
county,1,,Mombasa,Ease of Doing Business-Headquarters,Actual Payments,0.00
county,1,,Mombasa,Ease of Doing Business-Headquarters,Variance,14.00
