geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,47,,Nairobi,General Administration Planning and Support Services,Approved Budget,1078.10
county,47,,Nairobi,General Administration Planning and Support Services,Actual Payments,382.07
county,47,,Nairobi,General Administration Planning and Support Services,Variance,696.03
county,47,,Nairobi,"Roads, Drainage & Bridges",Approved Budget,3257.86
county,47,,Nairobi,"Roads, Drainage & Bridges",Actual Payments,19.39
county,47,,Nairobi,"Roads, Drainage & Bridges",Variance,3238.47
county,47,,Nairobi,Road Safety Interventions,Approved Budget,187.62
county,47,,Nairobi,Road Safety Interventions,Actual Payments,14.72
county,47,,Nairobi,Road Safety Interventions,Variance,172.90
county,47,,Nairobi,Institutional Buildings & Maintenance,Approved Budget,255.70
county,47,,Nairobi,Institutional Buildings & Maintenance,Actual Payments,6.05
county,47,,Nairobi,Institutional Buildings & Maintenance,Variance,249.65
