geo_level,geo_code,geo_version,name,variable,number
municipality,3084,,Kheis,Communal container/central collection point,0
municipality,3084,,Kheis,Communal refuse dump,428.6288
municipality,3084,,Kheis,Dump or leave rubbish anywhere (no rubbish disposal),1037.629
municipality,3084,,Kheis,Other,634.9901
municipality,3084,,Kheis,Own refuse dump,2925.116
municipality,3084,,Kheis,Removed by local authority/private company/community members at least once a week,11442.32
municipality,3084,,Kheis,Removed by local authority/private company/community members less often than once a week,97.20766
municipality,5263,,Abaqulusi,Communal container/central collection point,519.7009
municipality,5263,,Abaqulusi,Communal refuse dump,3024.548
municipality,5263,,Abaqulusi,Dump or leave rubbish anywhere (no rubbish disposal),27112.33
municipality,5263,,Abaqulusi,Other,10341.27
municipality,5263,,Abaqulusi,Own refuse dump,110567
municipality,5263,,Abaqulusi,Removed by local authority/private company/community members at least once a week,83342.76
municipality,5263,,Abaqulusi,Removed by local authority/private company/community members less often than once a week,8887.035
municipality,5238,,Alfred Duma,Communal container/central collection point,715.7927
municipality,5238,,Alfred Duma,Communal refuse dump,3618.364
municipality,5238,,Alfred Duma,Dump or leave rubbish anywhere (no rubbish disposal),39653.23
municipality,5238,,Alfred Duma,Other,2591.329
municipality,5238,,Alfred Duma,Own refuse dump,169425.3
municipality,5238,,Alfred Duma,Removed by local authority/private company/community members at least once a week,128010.3
municipality,5238,,Alfred Duma,Removed by local authority/private company/community members less often than once a week,12260.19
district,244,,Alfred Nzo,Communal container/central collection point,1013.737
district,244,,Alfred Nzo,Communal refuse dump,22040.87
district,244,,Alfred Nzo,Dump or leave rubbish anywhere (no rubbish disposal),80211.67
district,244,,Alfred Nzo,Other,13791.9
district,244,,Alfred Nzo,Own refuse dump,709263.6
district,244,,Alfred Nzo,Removed by local authority/private company/community members at least once a week,39146.49
district,244,,Alfred Nzo,Removed by local authority/private company/community members less often than once a week,2395.789
municipality,2124,,Amahlathi,Communal container/central collection point,9435.587
municipality,2124,,Amahlathi,Communal refuse dump,2203.446
municipality,2124,,Amahlathi,Dump or leave rubbish anywhere (no rubbish disposal),1013.562
municipality,2124,,Amahlathi,Other,2760.065
municipality,2124,,Amahlathi,Own refuse dump,69181
municipality,2124,,Amahlathi,Removed by local authority/private company/community members at least once a week,16035.05
municipality,2124,,Amahlathi,Removed by local authority/private company/community members less often than once a week,1196.839
district,525,,Amajuba,Communal container/central collection point,2749.72
district,525,,Amajuba,Communal refuse dump,9138.564
district,525,,Amajuba,Dump or leave rubbish anywhere (no rubbish disposal),18244.81
district,525,,Amajuba,Other,5380.255
district,525,,Amajuba,Own refuse dump,226743.8
district,525,,Amajuba,Removed by local authority/private company/community members at least once a week,260667
district,525,,Amajuba,Removed by local authority/private company/community members less often than once a week,8402.724
district,212,,Amathole,Communal container/central collection point,10838.86
district,212,,Amathole,Communal refuse dump,29431.61
district,212,,Amathole,Dump or leave rubbish anywhere (no rubbish disposal),61844.33
district,212,,Amathole,Other,12863.98
district,212,,Amathole,Own refuse dump,625185.7
district,212,,Amathole,Removed by local authority/private company/community members at least once a week,133929.3
district,212,,Amathole,Removed by local authority/private company/community members less often than once a week,6696.525
municipality,9334,,Ba-Phalaborwa,Communal container/central collection point,57.7668
municipality,9334,,Ba-Phalaborwa,Communal refuse dump,7244.901
municipality,9334,,Ba-Phalaborwa,Dump or leave rubbish anywhere (no rubbish disposal),4187.357
municipality,9334,,Ba-Phalaborwa,Other,6469.289
municipality,9334,,Ba-Phalaborwa,Own refuse dump,83825.31
municipality,9334,,Ba-Phalaborwa,Removed by local authority/private company/community members at least once a week,65711.01
municipality,9334,,Ba-Phalaborwa,Removed by local authority/private company/community members less often than once a week,1441.069
municipality,1053,,Beaufort West,Communal container/central collection point,55.64792
municipality,1053,,Beaufort West,Communal refuse dump,393.3793
municipality,1053,,Beaufort West,Dump or leave rubbish anywhere (no rubbish disposal),184.0628
municipality,1053,,Beaufort West,Other,227.453
municipality,1053,,Beaufort West,Own refuse dump,1513.269
municipality,1053,,Beaufort West,Removed by local authority/private company/community members at least once a week,48457.17
municipality,1053,,Beaufort West,Removed by local authority/private company/community members less often than once a week,249.0042
municipality,9366,,Bela-Bela,Communal container/central collection point,184.4657
municipality,9366,,Bela-Bela,Communal refuse dump,1854.644
municipality,9366,,Bela-Bela,Dump or leave rubbish anywhere (no rubbish disposal),705.7396
municipality,9366,,Bela-Bela,Other,527.8376
municipality,9366,,Bela-Bela,Own refuse dump,18398
municipality,9366,,Bela-Bela,Removed by local authority/private company/community members at least once a week,52523.29
municipality,9366,,Bela-Bela,Removed by local authority/private company/community members less often than once a week,2102.103
municipality,1013,,Bergrivier,Communal container/central collection point,37.45066
municipality,1013,,Bergrivier,Communal refuse dump,1514.163
municipality,1013,,Bergrivier,Dump or leave rubbish anywhere (no rubbish disposal),104.9717
municipality,1013,,Bergrivier,Other,175.3269
municipality,1013,,Bergrivier,Own refuse dump,7497.752
municipality,1013,,Bergrivier,Removed by local authority/private company/community members at least once a week,57467.01
municipality,1013,,Bergrivier,Removed by local authority/private company/community members less often than once a week,677.1533
municipality,5276,,Big Five Hlabisa,Communal container/central collection point,2538.396
municipality,5276,,Big Five Hlabisa,Communal refuse dump,1754.702
municipality,5276,,Big Five Hlabisa,Dump or leave rubbish anywhere (no rubbish disposal),11471.59
municipality,5276,,Big Five Hlabisa,Other,8106.736
municipality,5276,,Big Five Hlabisa,Own refuse dump,90600.04
municipality,5276,,Big Five Hlabisa,Removed by local authority/private company/community members at least once a week,1058.111
municipality,5276,,Big Five Hlabisa,Removed by local authority/private company/community members less often than once a week,1092.106
municipality,1047,,Bitou,Communal container/central collection point,367.9741
municipality,1047,,Bitou,Communal refuse dump,283.2387
municipality,1047,,Bitou,Dump or leave rubbish anywhere (no rubbish disposal),256.6743
municipality,1047,,Bitou,Other,603.0545
municipality,1047,,Bitou,Own refuse dump,4031.556
municipality,1047,,Bitou,Removed by local authority/private company/community members at least once a week,53097.36
municipality,1047,,Bitou,Removed by local authority/private company/community members less often than once a week,517.3249
municipality,9351,,Blouberg,Communal container/central collection point,490.3636
municipality,9351,,Blouberg,Communal refuse dump,3785.009
municipality,9351,,Blouberg,Dump or leave rubbish anywhere (no rubbish disposal),1587.226
municipality,9351,,Blouberg,Other,417.5955
municipality,9351,,Blouberg,Own refuse dump,139426.6
municipality,9351,,Blouberg,Removed by local authority/private company/community members at least once a week,25152.92
municipality,9351,,Blouberg,Removed by local authority/private company/community members less often than once a week,1741.715
municipality,2102,,Blue Crane Route,Communal container/central collection point,0
municipality,2102,,Blue Crane Route,Communal refuse dump,1328.911
municipality,2102,,Blue Crane Route,Dump or leave rubbish anywhere (no rubbish disposal),465.4793
municipality,2102,,Blue Crane Route,Other,40.51491
municipality,2102,,Blue Crane Route,Own refuse dump,1451.739
municipality,2102,,Blue Crane Route,Removed by local authority/private company/community members at least once a week,32636.49
municipality,2102,,Blue Crane Route,Removed by local authority/private company/community members less often than once a week,140.125
district,637,,Bojanala,Communal container/central collection point,22472.91
district,637,,Bojanala,Communal refuse dump,46900
district,637,,Bojanala,Dump or leave rubbish anywhere (no rubbish disposal),52722.9
district,637,,Bojanala,Other,22915.82
district,637,,Bojanala,Own refuse dump,449049.3
