geo_level,geo_code,geo_version,name,variable,value
district,101,,West Coast,2000,26
district,102,,Cape Winelands,2000,58
district,103,,Overberg,2000,19
district,104,,Garden Route,2000,37
district,105,,Central Karoo,2000,6
district,191,,City of Cape Town,2000,296
district,210,,Sarah Baartman,2000,31
district,212,,Amathole,2000,102
district,213,,Chris Hani,2000,125
district,214,,Joe Gqabi,2000,62
district,215,,O.R.Tambo,2000,307
district,244,,Alfred Nzo,2000,212
district,292,,Buffalo City,2000,58
district,293,,Nelson Mandela Bay,2000,96
district,306,,Namakwa,2000,7
district,307,,Pixley ka Seme,2000,21
district,308,,Z F Mgcawu,2000,22
district,309,,Frances Baard,2000,35
district,345,,John Taolo Gaetsewe,2000,28
district,416,,Xhariep,2000,17
district,418,,Lejweleputswa,2000,94
district,419,,Thabo Mofutsanyane,2000,158
district,420,,Fezile Dabi,2000,62
district,494,,Mangaung,2000,87
district,521,,Ugu,2000,253
district,522,,Umgungundlovu,2000,340
district,523,,Uthukela,2000,156
district,524,,Umzinyathi,2000,115
district,525,,Amajuba,2000,78
district,526,,Zululand,2000,160
district,527,,Umkhanyakude,2000,156
district,528,,King Cetshwayo,2000,319
district,529,,iLembe,2000,230
district,543,,Harry Gwala,2000,166
district,595,,eThekwini,2000,997
district,637,,Bojanala,2000,133
district,638,,Ngaka Modiri Molema,2000,126
district,639,,Dr Ruth Segomotsi Mompati,2000,73
district,640,,Dr Kenneth Kaunda,2000,80
district,742,,Sedibeng,2000,110
district,748,,West Rand,2000,107
district,797,,Ekurhuleni,2000,738
district,798,,City of Johannesburg,2000,1111
district,799,,City of Tshwane,2000,279
district,830,,Gert Sibande,2000,251
district,831,,Nkangala,2000,256
district,832,,Ehlanzeni,2000,351
district,933,,Mopani,2000,159
district,934,,Vhembe,2000,171
district,935,,Capricorn,2000,149
district,936,,Waterberg,2000,78
district,947,,Sekhukhune,2000,220
province,EC,,Eastern Cape,2000,995
province,FS,,Free State,2000,418
province,GT,,Gauteng,2000,2344
province,KZN,,KwaZulu-Natal,2000,2966
province,LIM,,Limpopo,2000,776
province,MP,,Mpumalanga,2000,859
province,NC,,Northern Cape,2000,112
province,NW,,North West,2000,412
province,WC,,Western Cape,2000,441
country,ZA,,South Africa,2000,9342
district,101,,West Coast,2001,38
district,102,,Cape Winelands,2001,80
district,103,,Overberg,2001,25
district,104,,Garden Route,2001,52
district,105,,Central Karoo,2001,9
district,191,,City of Cape Town,2001,398
district,210,,Sarah Baartman,2001,42
district,212,,Amathole,2001,150
district,213,,Chris Hani,2001,164
district,214,,Joe Gqabi,2001,87
district,215,,O.R.Tambo,2001,488
district,244,,Alfred Nzo,2001,246
district,292,,Buffalo City,2001,87
district,293,,Nelson Mandela Bay,2001,116
district,306,,Namakwa,2001,10
district,307,,Pixley ka Seme,2001,26
district,308,,Z F Mgcawu,2001,27
district,309,,Frances Baard,2001,42
district,345,,John Taolo Gaetsewe,2001,34
district,416,,Xhariep,2001,21
district,418,,Lejweleputswa,2001,94
district,419,,Thabo Mofutsanyane,2001,151
district,420,,Fezile Dabi,2001,71
district,494,,Mangaung,2001,91
district,521,,Ugu,2001,187
district,522,,Umgungundlovu,2001,188
district,523,,Uthukela,2001,150
district,524,,Umzinyathi,2001,94
district,525,,Amajuba,2001,93
district,526,,Zululand,2001,173
district,527,,Umkhanyakude,2001,164
district,528,,King Cetshwayo,2001,220
district,529,,iLembe,2001,144
district,543,,Harry Gwala,2001,127
district,595,,eThekwini,2001,342
district,637,,Bojanala,2001,180
district,638,,Ngaka Modiri Molema,2001,159
district,639,,Dr Ruth Segomotsi Mompati,2001,94
district,640,,Dr Kenneth Kaunda,2001,90
district,742,,Sedibeng,2001,105
district,748,,West Rand,2001,117
district,797,,Ekurhuleni,2001,685
district,798,,City of Johannesburg,2001,1056
district,799,,City of Tshwane,2001,370
district,830,,Gert Sibande,2001,328
district,831,,Nkangala,2001,292
district,832,,Ehlanzeni,2001,455
district,933,,Mopani,2001,238
district,934,,Vhembe,2001,233
district,935,,Capricorn,2001,189
district,936,,Waterberg,2001,100
district,947,,Sekhukhune,2001,296
province,EC,,Eastern Cape,2001,1381
province,FS,,Free State,2001,429
province,GT,,Gauteng,2001,2333
province,KZN,,KwaZulu-Natal,2001,1882
province,LIM,,Limpopo,2001,1057
province,MP,,Mpumalanga,2001,1075
province,NC,,Northern Cape,2001,140
province,NW,,North West,2001,524
province,WC,,Western Cape,2001,600
country,ZA,,South Africa,2001,9434
district,101,,West Coast,2002,50
district,102,,Cape Winelands,2002,105
district,103,,Overberg,2002,32
district,104,,Garden Route,2002,67
district,105,,Central Karoo,2002,11
district,191,,City of Cape Town,2002,457
district,210,,Sarah Baartman,2002,51
district,212,,Amathole,2002,125
district,213,,Chris Hani,2002,157
district,214,,Joe Gqabi,2002,86
district,215,,O.R.Tambo,2002,392
district,244,,Alfred Nzo,2002,237
district,292,,Buffalo City,2002,82
district,293,,Nelson Mandela Bay,2002,116
district,306,,Namakwa,2002,13
district,307,,Pixley ka Seme,2002,34
district,308,,Z F Mgcawu,2002,34
district,309,,Frances Baard,2002,56
district,345,,John Taolo Gaetsewe,2002,42
district,416,,Xhariep,2002,28
district,418,,Lejweleputswa,2002,114
district,419,,Thabo Mofutsanyane,2002,177
district,420,,Fezile Dabi,2002,82
district,494,,Mangaung,2002,117
district,521,,Ugu,2002,172
district,522,,Umgungundlovu,2002,217
district,523,,Uthukela,2002,178
district,524,,Umzinyathi,2002,129
district,525,,Amajuba,2002,100
district,526,,Zululand,2002,227
district,527,,Umkhanyakude,2002,186
district,528,,King Cetshwayo,2002,231
district,529,,iLembe,2002,144
district,543,,Harry Gwala,2002,137
district,595,,eThekwini,2002,389
district,637,,Bojanala,2002,209
district,638,,Ngaka Modiri Molema,2002,173
district,639,,Dr Ruth Segomotsi Mompati,2002,113
district,640,,Dr Kenneth Kaunda,2002,105
district,742,,Sedibeng,2002,125
district,748,,West Rand,2002,132
district,797,,Ekurhuleni,2002,547
district,798,,City of Johannesburg,2002,667
district,799,,City of Tshwane,2002,412
district,830,,Gert Sibande,2002,348
district,831,,Nkangala,2002,302
district,832,,Ehlanzeni,2002,454
district,933,,Mopani,2002,236
district,934,,Vhembe,2002,244
district,935,,Capricorn,2002,216
district,936,,Waterberg,2002,116
district,947,,Sekhukhune,2002,303
province,EC,,Eastern Cape,2002,1247
province,FS,,Free State,2002,518
province,GT,,Gauteng,2002,1883
province,KZN,,KwaZulu-Natal,2002,2113
province,LIM,,Limpopo,2002,1114
province,MP,,Mpumalanga,2002,1103
province,NC,,Northern Cape,2002,179
province,NW,,North West,2002,600
province,WC,,Western Cape,2002,722
country,ZA,,South Africa,2002,9489
district,101,,West Coast,2003,58
district,102,,Cape Winelands,2003,120
district,103,,Overberg,2003,37
district,104,,Garden Route,2003,76
district,105,,Central Karoo,2003,12
district,191,,City of Cape Town,2003,512
district,210,,Sarah Baartman,2003,56
district,212,,Amathole,2003,124
district,213,,Chris Hani,2003,133
district,214,,Joe Gqabi,2003,77
district,215,,O.R.Tambo,2003,364
district,244,,Alfred Nzo,2003,204
district,292,,Buffalo City,2003,79
district,293,,Nelson Mandela Bay,2003,130
district,306,,Namakwa,2003,15
