geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,42,,Kisumu,Conditional Grants from the National Government,Actual receipts,163.84
county,42,,Kisumu,Conditional Grants from the National Government,Annual Budget Allocation,613.85
county,42,,Kisumu,Conditional Grants from the National Government,Annual CARA Allocation,757.96
county,42,,Kisumu,Equitable Share of Revenue Raised Nationally,Actual receipts,"2,420.09"
county,42,,Kisumu,Equitable Share of Revenue Raised Nationally,Annual Budget Allocation,"6,696.00"
county,42,,Kisumu,Equitable Share of Revenue Raised Nationally,Annual CARA Allocation,"6,696.00"
county,42,,Kisumu,Loans and Grants from Development Partners,Actual receipts,67.03
county,42,,Kisumu,Loans and Grants from Development Partners,Annual Budget Allocation,"1,533.14"
county,42,,Kisumu,Loans and Grants from Development Partners,Annual CARA Allocation,"1,119.58"
county,42,,Kisumu,Other Sources of Revenue,Actual receipts,"1,888.04"
county,42,,Kisumu,Other Sources of Revenue,Annual Budget Allocation,"2,962.56"
county,42,,Kisumu,Other Sources of Revenue,Annual CARA Allocation,"2,962.56"
county,47,,Nairobi,Conditional Grants from the National Government,Actual receipts,0.00
county,47,,Nairobi,Conditional Grants from the National Government,Annual Budget Allocation,554.32
county,47,,Nairobi,Conditional Grants from the National Government,Annual CARA Allocation,686.23
county,47,,Nairobi,Equitable Share of Revenue Raised Nationally,Actual receipts,"5,635.66"
county,47,,Nairobi,Equitable Share of Revenue Raised Nationally,Annual Budget Allocation,"15,919.95"
county,47,,Nairobi,Equitable Share of Revenue Raised Nationally,Annual CARA Allocation,"15,919.95"
county,47,,Nairobi,Loans and Grants from Development Partners,Actual receipts,37.56
county,47,,Nairobi,Loans and Grants from Development Partners,Annual Budget Allocation,194.70
county,47,,Nairobi,Loans and Grants from Development Partners,Annual CARA Allocation,194.70
county,47,,Nairobi,Other Sources of Revenue,Actual receipts,"6,227.85"
county,47,,Nairobi,Other Sources of Revenue,Annual Budget Allocation,"20,312.42"
county,47,,Nairobi,Other Sources of Revenue,Annual CARA Allocation,0.00
