table_name,country_code,link,title
poverty_incidence_(Po)_gh,GH,https://open.africa/dataset/ghana-living-standards-survey-glss-7-2017/resource/0b01ff26-57e3-4607-83c4-deec08346c57,"Ghana Living Standards Survey (GLSS 7), 2017"
out-patient_services_health_expenditure_(GH¢)_gh,GH,https://open.africa/dataset/ghana-living-standards-survey-glss-7-2017/resource/10c54a40-ef45-42d2-8a20-a108cde05a51,"Ghana Living Standards Survey (GLSS 7), 2017"
health_facility_visited_gh,GH,https://open.africa/dataset/ghana-living-standards-survey-glss-7-2017/resource/d1069c82-bc69-40d2-a6ce-2e837a0b38a0,"Ghana Living Standards Survey (GLSS 7), 2017"
sector_of_health_facility_visited_gh  ,GH,https://open.africa/dataset/ghana-living-standards-survey-glss-7-2017/resource/6907018e-7eca-4d91-bf95-deffd08c7a85,"Ghana Living Standards Survey (GLSS 7), 2017"
handwashing_type_gh,GH,https://open.africa/dataset/ghana-multiple-indicator-cluster-survey/resource/3c4b01d5-f3ab-45a0-a6a5-c4d0409f4551,"Ghana Multiple Indicator Cluster Survey, 2018"
handwashing_prev_urbanrural_gh,GH,https://open.africa/dataset/ghana-multiple-indicator-cluster-survey/resource/5f88ae4a-7206-4651-8e5f-544d4cd0d7b5,"Ghana Multiple Indicator Cluster Survey, 2018"
handwashing_prevalence_gh,GH,https://open.africa/dataset/ghana-multiple-indicator-cluster-survey/resource/5f88ae4a-7206-4651-8e5f-544d4cd0d7b5,"Ghana Multiple Indicator Cluster Survey, 2018"
handwashing_type_urbanrural_gh,GH,https://open.africa/dataset/ghana-multiple-indicator-cluster-survey/resource/3c4b01d5-f3ab-45a0-a6a5-c4d0409f4551,"Ghana Multiple Indicator Cluster Survey, 2018"
prevalence_of_hiv_ages_15_to_49_gh,GH,https://open.africa/dataset/africa-hiv-prevalence-geospatial-estimates-2000-2017,"Institute for Health Metrics and Evaluation (IHME), 2017"
tb_cases_per_100000_population_gh,GH,https://open.africa/dataset/the-health-sector-in-ghana-facts-and-figures-2018/resource/00208ad8-dbcd-4209-8e5d-01af22023d88,"The Health Sector In Ghana Facts And Figures, 2018"
average_annual_household_and_per _capita _income_gh,GH,https://open.africa/dataset/ghana-living-standards-survey-glss-7-2017/resource/34c81b4f-c17d-4417-839f-08236abf712b,"Ghana Living Standards Survey (GLSS 7), 2017"
number_of_hospital_beds_by_sector_gh,GH,https://open.africa/dataset/the-health-sector-in-ghana-facts-and-figures-2018/resource/92d187e6-af62-40db-af5f-b74a04249846,"The Health Sector In Ghana Facts And Figures, 2018"
people_15_to_49_covered_by_health_insurance_gh,GH,https://open.africa/dataset/ghana-multiple-indicator-cluster-survey/resource/5343369d-68d3-42ba-94b9-36a4c688a663,"Ghana Multiple Indicator Cluster Survey, 2017/18"
people_15_to_49_with_type_of_health_insurance_gh,GH,https://open.africa/dataset/ghana-multiple-indicator-cluster-survey/resource/5343369d-68d3-42ba-94b9-36a4c688a663,"Ghana Multiple Indicator Cluster Survey, 2017/18"
travel_time_to_health_facility_gh,GH,https://open.africa/dataset/ghana-living-standards-survey-glss-7-2017/resource/3946b512-fff0-4851-929f-02c0a91627f5,"Ghana Living Standards Survey (GLSS 7), 2017"
travel_time_to_health_facility_urbanrural_gh,GH,https://open.africa/dataset/ghana-living-standards-survey-glss-7-2017/resource/3946b512-fff0-4851-929f-02c0a91627f5,"Ghana Living Standards Survey (GLSS 7), 2017"
