geo_level,geo_code,geo_version,name,variable,value
state,1,,Abia,30 minutes or longer away,14.6
state,1,,Abia,Less than 30 minutes away,60.1
state,1,,Abia,On the premises,25.3
state,2,,Adamawa,30 minutes or longer away,3.2
state,2,,Adamawa,On the premises,30.7
state,2,,Adamawa,Less than 30 minutes away,66.1
state,3,,Akwa Ibom,On the premises,23.8
state,3,,Akwa Ibom,30 minutes or longer away,28.6
state,3,,Akwa Ibom,Less than 30 minutes away,47.4
state,4,,Anambra,Less than 30 minutes away,73.3
state,4,,Anambra,On the premises,22.4
state,4,,Anambra,30 minutes or longer away,4.4
state,5,,Bauchi,Less than 30 minutes away,72.7
state,5,,Bauchi,30 minutes or longer away,4
state,5,,Bauchi,On the premises,23.3
state,6,,Bayelsa,Less than 30 minutes away,79.9
state,6,,Bayelsa,On the premises,19.5
state,6,,Bayelsa,30 minutes or longer away,0.4
state,7,,Benue,Less than 30 minutes away,37.7
state,7,,Benue,30 minutes or longer away,11.6
state,7,,Benue,On the premises,50.7
state,8,,Borno,On the premises,25.9
state,8,,Borno,30 minutes or longer away,19.8
state,8,,Borno,Less than 30 minutes away,52.9
state,9,,Cross River,30 minutes or longer away,32.7
state,9,,Cross River,On the premises,17.6
state,9,,Cross River,Less than 30 minutes away,49.6
state,10,,Delta,30 minutes or longer away,2.7
state,10,,Delta,On the premises,68.3
state,10,,Delta,Less than 30 minutes away,28.9
state,11,,Ebonyi,30 minutes or longer away,35.2
state,11,,Ebonyi,On the premises,23.3
state,11,,Ebonyi,Less than 30 minutes away,41.5
state,12,,Edo,30 minutes or longer away,19.6
state,12,,Edo,On the premises,34.5
state,12,,Edo,Less than 30 minutes away,45.9
state,13,,Ekiti,30 minutes or longer away,22.6
state,13,,Ekiti,On the premises,21.2
state,13,,Ekiti,Less than 30 minutes away,56.2
state,14,,Enugu,Less than 30 minutes away,24.2
state,14,,Enugu,30 minutes or longer away,31
state,14,,Enugu,On the premises,44.8
state,15,,Federal Capital Territory,On the premises,35.6
state,15,,Federal Capital Territory,30 minutes or longer away,17.2
state,15,,Federal Capital Territory,Less than 30 minutes away,47.2
state,16,,Gombe,On the premises,24.2
state,16,,Gombe,30 minutes or longer away,27.4
state,16,,Gombe,Less than 30 minutes away,48.4
state,17,,Imo,Less than 30 minutes away,28.6
state,17,,Imo,30 minutes or longer away,21.9
state,17,,Imo,On the premises,49.5
