geo_level,geo_code,geo_version,name,variable,value
district,527,,Umkhanyakude,2008,2.5
district,528,,King Cetshwayo,2008,8.5
district,947,,Sekhukhune,2008,9
district,244,,Alfred Nzo,2008,9.4
district,543,,Harry Gwala,2008,9.8
district,523,,Uthukela,2008,11.1
district,935,,Capricorn,2008,11.6
district,524,,Umzinyathi,2008,12.6
district,215,,O.R.Tambo,2008,12.7
district,832,,Ehlanzeni,2008,12.9
district,638,,Ngaka Modiri Molema,2008,13.6
district,526,,Zululand,2008,14.6
province,LIM,,Limpopo,2008,15
district,214,,Joe Gqabi,2008,15.4
district,525,,Amajuba,2008,16.2
district,799,,City of Tshwane,2008,16.5
province,KZN,,KwaZulu-Natal,2008,16.6
district,212,,Amathole,2008,16.9
district,742,,Sedibeng,2008,16.9
district,419,,Thabo Mofutsanyana,2008,17
district,830,,Gert Sibande,2008,17.3
province,MP,,Mpumalanga,2008,17.3
district,521,,Ugu,2008,17.3
province,EC,,Eastern Cape,2008,17.4
district,292,,Buffalo City,2008,17.7
district,213,,Chris Hani,2008,18
district,936,,Waterberg,2008,18.1
district,933,,Mopani,2008,19.1
district,595,,eThekwini,2008,19.1
district,934,,Vhembe,2008,19.5
district,494,,Mangaung,2008,20
district,640,,Dr Kenneth Kaunda,2008,20.6
district,293,,Nelson Mandela Bay,2008,20.7
district,797,,Ekurhuleni,2008,20.8
country,ZA,,South Africa,2008,20.9
province,GT,,Gauteng,2008,21
district,345,,John Taolo Gaetsewe,2008,21.4
province,NW,,North West,2008,21.5
district,522,,Umgungundlovu,2008,22.3
district,529,,iLembe,2008,23.1
district,418,,Lejweleputswa,2008,23.2
district,831,,Nkangala,2008,23.3
province,FS,,Free State,2008,23.7
district,798,,City of Johannesburg,2008,24.4
district,637,,Bojanala,2008,24.7
district,748,,West Rand,2008,25.4
district,309,,Frances Baard,2008,26.1
district,639,,Dr Ruth Segomotsi Mompati,2008,26.3
district,416,,Xhariep,2008,26.7
district,191,,City of Cape Town,2008,33.8
district,307,,Pixley ka Seme,2008,34
province,NC,,Northern Cape,2008,35
province,WC,,Western Cape,2008,36.8
district,102,,Cape Winelands,2008,36.9
district,420,,Fezile Dabi,2008,37.6
district,103,,Overberg,2008,41
district,104,,Garden Route,2008,42.7
district,210,,Sarah Baartman,2008,44.4
district,308,,ZF Mgcawu,2008,45.9
district,101,,West Coast,2008,49.1
district,105,,Central Karoo,2008,53.7
district,306,,Namakwa,2008,61
district,528,,King Cetshwayo,2010,4.1
district,527,,Umkhanyakude,2010,5.2
district,212,,Amathole,2010,5.4
district,947,,Sekhukhune,2010,6
district,933,,Mopani,2010,6.2
province,LIM,,Limpopo,2010,8.4
district,215,,O.R.Tambo,2010,8.7
district,526,,Zululand,2010,8.7
district,832,,Ehlanzeni,2010,9.3
district,934,,Vhembe,2010,9.3
district,799,,City of Tshwane,2010,9.4
district,936,,Waterberg,2010,10.2
district,935,,Capricorn,2010,10.6
district,521,,Ugu,2010,11.4
district,345,,John Taolo Gaetsewe,2010,11.6
district,529,,iLembe,2010,12.4
district,638,,Ngaka Modiri Molema,2010,12.5
district,244,,Alfred Nzo,2010,12.6
province,KZN,,KwaZulu-Natal,2010,13.1
