geo_level,geo_code,geo_version,name,variable,value
province,EC,,Eastern Cape,Diseases of the blood and immune mechanism (D50-D89,37660
province,EC,,Eastern Cape,Diseases of the circulatory system (I00-I99),210722
province,EC,,Eastern Cape,Diseases of the nervous system (G00-G99),38114
province,EC,,Eastern Cape,Symptoms and signs not elsewhere classified (R00-R99),271465
province,EC,,Eastern Cape,Congenital malformations (Q00-Q99),3783
province,EC,,Eastern Cape,Diseases of the genitourinary system (N00-N99),16853
province,EC,,Eastern Cape,Endocrine; nutritional and metabolic diseases (E00-E90),66816
province,EC,,Eastern Cape,Diseases of the skin and subcutaneous tissue (L00-L99),3406
province,EC,,Eastern Cape,Neoplasms (C00-D48),100548
province,EC,,Eastern Cape,Diseases of the respiratory system (J00-J99),171692
province,EC,,Eastern Cape,Diseases of the eye and adnexa (H00-H59),105
province,EC,,Eastern Cape,Diseases of the ear and mastoid process (H60-H95),224
province,EC,,Eastern Cape,External causes of morbidity and mortality (V01-Y98),152516
province,EC,,Eastern Cape,Diseases of the digestive system (K00-K93),35825
province,EC,,Eastern Cape,Mental and behavioural disorders (F00-F99),6599
province,EC,,Eastern Cape,Perinatal conditions (P00-P96),47444
province,EC,,Eastern Cape,Certain infectious and parasitic diseases (A00-B99),320908
province,EC,,Eastern Cape,Pregnancy; childbirth and puerperium (O00-O99),3177
province,EC,,Eastern Cape,Diseases of the musculoskeletal system etc. (M00-M99),6337
province,FS,,Free State,Diseases of the respiratory system (J00-J99),127038
province,FS,,Free State,Diseases of the digestive system (K00-K93),20311
province,FS,,Free State,Diseases of the nervous system (G00-G99),17747
province,FS,,Free State,Diseases of the circulatory system (I00-I99),123968
province,FS,,Free State,Diseases of the skin and subcutaneous tissue (L00-L99),1911
province,FS,,Free State,External causes of morbidity and mortality (V01-Y98),65068
province,FS,,Free State,Endocrine; nutritional and metabolic diseases (E00-E90),41061
province,FS,,Free State,Diseases of the blood and immune mechanism (D50-D89,37799
province,FS,,Free State,Certain infectious and parasitic diseases (A00-B99),176106
province,FS,,Free State,Symptoms and signs not elsewhere classified (R00-R99),84760
province,FS,,Free State,Diseases of the eye and adnexa (H00-H59),44
province,FS,,Free State,Pregnancy; childbirth and puerperium (O00-O99),1912
province,FS,,Free State,Diseases of the ear and mastoid process (H60-H95),175
province,FS,,Free State,Congenital malformations (Q00-Q99),2992
province,FS,,Free State,Mental and behavioural disorders (F00-F99),2479
province,FS,,Free State,Diseases of the genitourinary system (N00-N99),12251
province,FS,,Free State,Perinatal conditions (P00-P96),61107
province,FS,,Free State,Diseases of the musculoskeletal system etc. (M00-M99),1837
province,FS,,Free State,Neoplasms (C00-D48),44154
province,GT,,Gauteng,Diseases of the ear and mastoid process (H60-H95),268
province,GT,,Gauteng,Symptoms and signs not elsewhere classified (R00-R99),260166
province,GT,,Gauteng,Mental and behavioural disorders (F00-F99),7518
province,GT,,Gauteng,Diseases of the nervous system (G00-G99),51923
province,GT,,Gauteng,Diseases of the respiratory system (J00-J99),231885
province,GT,,Gauteng,Diseases of the circulatory system (I00-I99),323868
province,GT,,Gauteng,Diseases of the eye and adnexa (H00-H59),73
province,GT,,Gauteng,Diseases of the musculoskeletal system etc. (M00-M99),7012
province,GT,,Gauteng,Endocrine; nutritional and metabolic diseases (E00-E90),97818
province,GT,,Gauteng,Diseases of the digestive system (K00-K93),53051
province,GT,,Gauteng,Perinatal conditions (P00-P96),150720
province,GT,,Gauteng,Pregnancy; childbirth and puerperium (O00-O99),4867
province,GT,,Gauteng,Certain infectious and parasitic diseases (A00-B99),370739
province,GT,,Gauteng,Diseases of the skin and subcutaneous tissue (L00-L99),4337
province,GT,,Gauteng,Diseases of the blood and immune mechanism (D50-D89,58488
province,GT,,Gauteng,External causes of morbidity and mortality (V01-Y98),236310
province,GT,,Gauteng,Congenital malformations (Q00-Q99),12145
province,GT,,Gauteng,Neoplasms (C00-D48),168895
province,GT,,Gauteng,Diseases of the genitourinary system (N00-N99),37877
province,KZN,,KwaZulu-Natal,Pregnancy; childbirth and puerperium (O00-O99),4924
province,KZN,,KwaZulu-Natal,Diseases of the digestive system (K00-K93),57203
province,KZN,,KwaZulu-Natal,Diseases of the genitourinary system (N00-N99),33528
province,KZN,,KwaZulu-Natal,Diseases of the musculoskeletal system etc. (M00-M99),7548
