id,geo_level,geo_code,parent_level,parent_code,version,name,long_name,square_kms
1,continent,AFR,,,2009,Africa,Africa,
2,country,NG,continent,AFR,2009,Nigeria,Nigeria,923768
3,country,SN,continent,AFR,2009,Senegal,Senegal,196712
4,country,TZ,continent,AFR,2009,Tanzania,Tanzania,945087
5,level1,NG_1_006,country,NG,2009,Bayelsa,Bayelsa,10773
6,level1,NG_1_007,country,NG,2009,Benue,Benue,34059
7,level1,NG_1_008,country,NG,2009,Borno,Borno,70898
8,level1,NG_1_009,country,NG,2009,Cross River,Cross River,20156
9,level1,NG_1_010,country,NG,2009,Delta,Delta,17698
10,level1,NG_1_011,country,NG,2009,Ebonyi,Ebonyi,5670
11,level1,NG_1_012,country,NG,2009,Edo,Edo,17802
12,level1,NG_1_013,country,NG,2009,Ekiti,Ekiti,6353
13,level1,NG_1_014,country,NG,2009,Enugu,Enugu,7161
14,level1,NG_1_015,country,NG,2009,Federal Capital Territory,Federal Capital Territory,7315
15,level1,NG_1_016,country,NG,2009,Gombe,Gombe,18768
16,level1,NG_1_017,country,NG,2009,Imo,Imo,5530
17,level1,NG_1_018,country,NG,2009,Jigawa,Jigawa,23154
18,level1,NG_1_019,country,NG,2009,Kaduna,Kaduna,46053
19,level1,NG_1_020,country,NG,2009,Kano,Kano,20131
20,level1,NG_1_021,country,NG,2009,Katsina,Katsina,24192
21,level1,NG_1_022,country,NG,2009,Kebbi,Kebbi,36800
22,level1,NG_1_023,country,NG,2009,Kogi,Kogi,29833
23,level1,NG_1_024,country,NG,2009,Kwara,Kwara,36825
24,level1,NG_1_025,country,NG,2009,Lagos,Lagos,3345
25,level1,NG_1_026,country,NG,2009,Nasarawa,Nasarawa,27117
26,level1,NG_1_027,country,NG,2009,Niger,Niger,76363
27,level1,NG_1_028,country,NG,2009,Ogun,Ogun,16762
28,level1,NG_1_029,country,NG,2009,Ondo,Ondo,15500
29,level1,NG_1_030,country,NG,2009,Osun,Osun,9251
30,level1,NG_1_031,country,NG,2009,Oyo,Oyo,28454
31,level1,NG_1_032,country,NG,2009,Plateau,Plateau,30913
32,level1,NG_1_033,country,NG,2009,Rivers,Rivers,11077
33,level1,NG_1_034,country,NG,2009,Sokoto,Sokoto,25973
34,level1,NG_1_035,country,NG,2009,Taraba,Taraba,54473
35,level1,NG_1_036,country,NG,2009,Yobe,Yobe,45502
36,level1,NG_1_037,country,NG,2009,Zamfara,Zamfara,39762
37,level1,SN_1_001,country,SN,2009,Dakar,Dakar,547
38,level1,SN_1_002,country,SN,2009,Diourbel,Diourbel,4824
39,level1,SN_1_003,country,SN,2009,Fatick,Fatick,6849
40,level1,SN_1_004,country,SN,2009,Kaffrine,Kaffrine,11262
41,level1,SN_1_005,country,SN,2009,Kaolack,Kaolack,5357
42,level1,SN_1_006,country,SN,2009,Kedougou,Kedougou,16800
43,level1,SN_1_007,country,SN,2009,Kolda,Kolda,13771
44,level1,SN_1_008,country,SN,2009,Louga,Louga,24889
45,level1,SN_1_009,country,SN,2009,Matam,Matam,29445
46,level1,SN_1_010,country,SN,2009,Saint Louis,Saint Louis,19241
47,level1,SN_1_011,country,SN,2009,Sedhiou,Sedhiou,7341
48,level1,SN_1_012,country,SN,2009,Tambacounda,Tambacounda,42364
49,level1,SN_1_013,country,SN,2009,Thies,Thies,6670
50,level1,SN_1_014,country,SN,2009,Ziguinchor,Ziguinchor,7352
51,level1,TZ_1_022,country,TZ,2009,Pwani,Pwani,32407
52,level1,TZ_1_026,country,TZ,2009,Simiyu,Simiyu,2380
53,level1,TZ_1_004,country,TZ,2009,Geita,Geita,20054
54,level1,TZ_1_027,country,TZ,2009,Singida,Singida,49437
55,level1,TZ_1_005,country,TZ,2009,Iringa,Iringa,58936
56,level1,TZ_1_023,country,TZ,2009,Rukwa,Rukwa,75240
57,level1,TZ_1_006,country,TZ,2009,Kagera,Kagera,39627
58,level1,TZ_1_010,country,TZ,2009,Kigoma,Kigoma,45066
59,level1,TZ_1_014,country,TZ,2009,Lindi,Lindi,67000
60,level1,TZ_1_002,country,TZ,2009,Dar es salaam,Dar es salaam,1393
61,level1,TZ_1_003,country,TZ,2009,Dodoma,Dodoma,41311
62,level1,TZ_1_028,country,TZ,2009,Tanga,Tanga,27348
63,level1,TZ_1_019,country,TZ,2009,Mtwara,Mtwara,16707
64,level1,TZ_1_021,country,TZ,2009,Njombe,Njombe,21347
65,level1,TZ_1_029,country,TZ,2009,Tabora,Tabora,76151
66,level1,TZ_1_011,country,TZ,2009,Kilimanjaro,Kilimanjaro,13209
67,level1,TZ_1_025,country,TZ,2009,Shinyanga,Shinyanga,40781
68,level1,TZ_1_016,country,TZ,2009,Mara,Mara,31150
69,level1,TZ_1_024,country,TZ,2009,Ruvuma,Ruvuma,66477
70,level1,TZ_1_020,country,TZ,2009,Mwanza,Mwanza,35187
71,level1,TZ_1_017,country,TZ,2009,Mbeya,Mbeya,62420
72,level1,TZ_1_001,country,TZ,2009,Arusha,Arusha,34516
